,address_type,agency,agency_name,bbl,borough,bridge_highway_direction,bridge_highway_name,bridge_highway_segment,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,latitude,location,location_address,location_city,location_state,location_type,location_zip,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,road_ramp,status,street_name,taxi_company_borough,taxi_pick_up_location,unique_key,vehicle_type,x_coordinate_state_plane,y_coordinate_state_plane
263,,NYPD,New York City Police Department,2040240001,BRONX,,,,BRONX,2020-03-22T05:37:43.000,11 BRONX,Noise - Residential,2020-03-22T02:26:43.000,DEAD END,VAN NEST AVENUE,Loud Music/Party,,,1648 TAYLOR AVENUE,10460,DEAD END,VAN NEST AVENUE,TAYLOR AVENUE,40.84143958439714,"{'type': 'Point', 'coordinates': [-73.86802314238975, 40.84143958439714]}",,,,,,-73.86802314238975,PHONE,BRONX,Unspecified,2020-03-22T09:37:50.000,The Police Department reviewed your complaint and provided additional information below.,,Closed,TAYLOR AVENUE,,,45875966,,1020767,245864
264,,NYPD,New York City Police Department,3087630032,BROOKLYN,,,,BROOKLYN,2020-03-22T05:00:35.000,15 BROOKLYN,Blocked Driveway,2020-03-22T02:26:53.000,EAST   11 STREET,EAST   12 STREET,No Access,,,1112 BLAKE COURT,11235,EAST   11 STREET,EAST   12 STREET,BLAKE COURT,40.584331964535785,"{'type': 'Point', 'coordinates': [-73.95875964193925, 40.584331964535785]}",,,,Street/Sidewalk,,-73.95875964193925,PHONE,BROOKLYN,Unspecified,2020-03-22T09:00:40.000,The Police Department issued a summons in response to the complaint.,,Closed,BLAKE COURT,,,45877708,,995705,152167
265,,DOHMH,Department of Health and Mental Hygiene,4006930007,QUEENS,,,,ASTORIA,,01 QUEENS,Smoking,2020-03-22T02:26:57.000,43 STREET,44 STREET,Smoking Violation,,,43-03 BROADWAY,11103,43 STREET,44 STREET,BROADWAY,40.75779259130661,"{'type': 'Point', 'coordinates': [-73.9164670619896, 40.75779259130661]}",,,,Commercial Building,,-73.9164670619896,PHONE,QUEENS,Unspecified,,,,In Progress,BROADWAY,,,45876997,,1007392,215372
266,,NYPD,New York City Police Department,2033040141,BRONX,,,,BRONX,2020-03-22T03:11:04.000,07 BRONX,Noise - Residential,2020-03-22T02:27:07.000,GRAND CONCOURSE,VALENTINE AVENUE,Loud Music/Party,,,215 EAST  197 STREET,10458,GRAND CONCOURSE,VALENTINE AVENUE,EAST  197 STREET,40.86912202280239,"{'type': 'Point', 'coordinates': [-73.89106121463132, 40.86912202280239]}",,,,Residential Building/House,,-73.89106121463132,PHONE,BRONX,Unspecified,2020-03-22T07:11:09.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,EAST  197 STREET,,,45875846,,1014380,255941
267,ADDRESS,HPD,Department of Housing Preservation and Development,2027850020,BRONX,,,,BRONX,2020-03-24T21:20:44.000,04 BRONX,HEAT/HOT WATER,2020-03-22T02:27:15.000,,,ENTIRE BUILDING,,,1340 MORRIS AVENUE,10456,,,,40.836593287858925,"{'type': 'Point', 'coordinates': [-73.91212906703372, 40.836593287858925]}",,,,RESIDENTIAL BUILDING,,-73.91212906703372,ONLINE,BRONX,Unspecified,2020-03-24T21:20:44.000,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",,Closed,MORRIS AVENUE,,,45878379,,1008565,244083
268,,NYPD,New York City Police Department,4017790006,QUEENS,,,,CORONA,2020-03-22T09:08:38.000,03 QUEENS,Noise - Residential,2020-03-22T02:28:01.000,108 STREET,111 STREET,Loud Talking,,,108-28 38 AVENUE,11368,108 STREET,111 STREET,38 AVENUE,40.75263622174187,"{'type': 'Point', 'coordinates': [-73.85849365692366, 40.75263622174187]}",,,,,,-73.85849365692366,PHONE,QUEENS,Unspecified,2020-03-22T13:08:41.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,38 AVENUE,,,45877668,,1023456,213514
269,ADDRESS,DSNY,Queens East 12,4121740050,QUEENS,,,,Jamaica,2020-03-24T12:00:00.000,12 QUEENS,Derelict Vehicles,2020-03-22T02:29:00.000,158 STREET,159 STREET,14 Derelict Vehicles,,N/A,158-20 111 AVENUE,11433,,,,40.69037855740898,"{'type': 'Point', 'coordinates': [-73.79114063755516, 40.69037855740898]}",,,,Street,,-73.79114063755516,ONLINE,QUEENS,Unspecified,2020-03-24T10:38:00.000,,,Closed,111 AVENUE,,,45879173,,1042171,190869
270,ADDRESS,DOB,Department of Buildings,4017390017,QUEENS,,,,Corona,2020-03-25T00:00:00.000,03 QUEENS,Electrical,2020-03-22T02:29:01.000,,,Electrical Wiring Defective/Exposed,,,35-28 99 STREET,11368,,,,40.75318348422093,"{'type': 'Point', 'coordinates': [-73.86865638374175, 40.75318348422093]}",,,,,,-73.86865638374175,UNKNOWN,QUEENS,Unspecified,2020-03-25T00:00:00.000,The Department of Buildings investigated this complaint and determined that no further action was necessary.,,Closed,99 STREET,,,45878176,,1020640,213709
271,,NYPD,New York City Police Department,5005410011,STATEN ISLAND,,,,STATEN ISLAND,2020-03-22T03:14:02.000,01 STATEN ISLAND,Noise - Vehicle,2020-03-22T02:29:21.000,CEDAR STREET,GORDON STREET,Car/Truck Music,,,191 BROAD STREET,10304,CEDAR STREET,GORDON STREET,BROAD STREET,40.62415703282506,"{'type': 'Point', 'coordinates': [-74.08100614362155, 40.62415703282506]}",,,,Street/Sidewalk,,-74.08100614362155,ONLINE,STATEN ISLAND,Unspecified,2020-03-22T07:14:03.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,BROAD STREET,,,45879505,,961763,166684
272,,NYPD,New York City Police Department,1001110100,MANHATTAN,,,,NEW YORK,2020-03-22T04:23:57.000,03 MANHATTAN,Noise - Residential,2020-03-22T02:29:32.000,R F WAGNER SR PLACE,PEDESTRIAN PATH,Loud Music/Party,,,180 SOUTH STREET,10038,R F WAGNER SR PLACE,PEDESTRIAN PATH,SOUTH STREET,40.70882077853836,"{'type': 'Point', 'coordinates': [-73.99896841823647, 40.70882077853836]}",,,,Residential Building/House,,-73.99896841823647,PHONE,MANHATTAN,Unspecified,2020-03-22T08:24:03.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,SOUTH STREET,,,45877367,,984536,197519
273,,NYPD,New York City Police Department,1003560001,MANHATTAN,,,,NEW YORK,2020-03-22T06:04:05.000,03 MANHATTAN,Noise - Residential,2020-03-22T02:29:41.000,EAST    3 STREET,EAST    4 STREET,Banging/Pounding,,,20 AVENUE D,10009,EAST    3 STREET,EAST    4 STREET,AVENUE D,40.7207090226164,"{'type': 'Point', 'coordinates': [-73.97819222319721, 40.7207090226164]}",,,,Residential Building/House,,-73.97819222319721,PHONE,MANHATTAN,Unspecified,2020-03-22T10:04:12.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,AVENUE D,,,45877779,,990295,201851
274,ADDRESS,HPD,Department of Housing Preservation and Development,3052870021,BROOKLYN,,,,BROOKLYN,2020-03-22T17:46:47.000,07 BROOKLYN,HEAT/HOT WATER,2020-03-22T02:30:05.000,,,ENTIRE BUILDING,,,800 GREENWOOD AVENUE,11218,,,,40.65237692798016,"{'type': 'Point', 'coordinates': [-73.97333851277976, 40.65237692798016]}",,,,RESIDENTIAL BUILDING,,-73.97333851277976,PHONE,BROOKLYN,Unspecified,2020-03-22T17:46:47.000,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",,Closed,GREENWOOD AVENUE,,,45876777,,991648,176956
275,ADDRESS,DOB,Department of Buildings,3015720018,BROOKLYN,,,,BROOKLYN,2020-03-22T02:32:22.000,16 BROOKLYN,Elevator,2020-03-22T02:32:22.000,,,Elevator - Single Device On Property/No Alternate Service,,,1424 HERKIMER STREET,11233,,,,40.67727281417121,"{'type': 'Point', 'coordinates': [-73.9064588666792, 40.67727281417121]}",,,,,,-73.9064588666792,UNKNOWN,BROOKLYN,Unspecified,2020-03-22T00:00:00.000,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,,Open,HERKIMER STREET,,,45876925,,1010196,186039
276,ADDRESS,HPD,Department of Housing Preservation and Development,3052870021,BROOKLYN,,,,BROOKLYN,,07 BROOKLYN,UNSANITARY CONDITION,2020-03-22T02:33:03.000,,,GARBAGE/RECYCLING STORAGE,,,800 GREENWOOD AVENUE,11218,,,,40.65237692798016,"{'type': 'Point', 'coordinates': [-73.97333851277976, 40.65237692798016]}",,,,RESIDENTIAL BUILDING,,-73.97333851277976,PHONE,BROOKLYN,Unspecified,2020-03-22T00:00:00.000,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,,Open,GREENWOOD AVENUE,,,45879613,,991648,176956
277,ADDRESS,HPD,Department of Housing Preservation and Development,3076730006,BROOKLYN,,,,BROOKLYN,2020-03-24T08:17:18.000,18 BROOKLYN,HEAT/HOT WATER,2020-03-22T02:33:10.000,,,ENTIRE BUILDING,,,1487 EAST   37 STREET,11234,,,,40.6194728954975,"{'type': 'Point', 'coordinates': [-73.93871024479004, 40.6194728954975]}",,,,RESIDENTIAL BUILDING,,-73.93871024479004,ONLINE,BROOKLYN,Unspecified,2020-03-24T08:17:18.000,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,,Closed,EAST   37 STREET,,,45879595,,1001265,164973
278,,NYPD,New York City Police Department,2023740060,BRONX,,,,BRONX,2020-03-22T03:32:35.000,01 BRONX,Noise - Residential,2020-03-22T02:34:33.000,MELROSE AVENUE,3 AVENUE,Loud Music/Party,,,415 EAST  151 STREET,10455,MELROSE AVENUE,3 AVENUE,EAST  151 STREET,40.8174358917541,"{'type': 'Point', 'coordinates': [-73.91680405885789, 40.8174358917541]}",,,,Residential Building/House,,-73.91680405885789,MOBILE,BRONX,Unspecified,2020-03-22T07:32:41.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,EAST  151 STREET,,,45877794,,1007278,237102
279,ADDRESS,HPD,Department of Housing Preservation and Development,1007790049,MANHATTAN,,,,NEW YORK,2020-03-23T19:03:02.000,05 MANHATTAN,HEAT/HOT WATER,2020-03-22T02:36:20.000,,,APARTMENT ONLY,,,208 WEST   30 STREET,10001,,,,40.74871010966081,"{'type': 'Point', 'coordinates': [-73.99305250373475, 40.74871010966081]}",,,,RESIDENTIAL BUILDING,,-73.99305250373475,PHONE,MANHATTAN,Unspecified,2020-03-23T19:03:02.000,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",,Closed,WEST   30 STREET,,,45879474,,986175,212052
280,ADDRESS,HPD,Department of Housing Preservation and Development,1007790049,MANHATTAN,,,,NEW YORK,,05 MANHATTAN,APPLIANCE,2020-03-22T02:36:20.000,,,ELECTRIC/GAS RANGE,,,208 WEST   30 STREET,10001,,,,40.74871010966081,"{'type': 'Point', 'coordinates': [-73.99305250373475, 40.74871010966081]}",,,,RESIDENTIAL BUILDING,,-73.99305250373475,PHONE,MANHATTAN,Unspecified,2020-03-22T00:00:00.000,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,,Open,WEST   30 STREET,,,45876597,,986175,212052
281,,DCA,Department of Consumer Affairs,3064160006,BROOKLYN,,,,BROOKLYN,2020-03-23T15:35:21.000,11 BROOKLYN,Consumer Complaint,2020-03-22T02:38:59.000,BAY   31 STREET,BAY   32 STREET,Retail Store,,,2225 BATH AVENUE,11214,BAY   31 STREET,BAY   32 STREET,BATH AVENUE,40.59798371190966,"{'type': 'Point', 'coordinates': [-73.99649988455897, 40.59798371190966]}",,,,Commercial Building,,-73.99649988455897,ONLINE,BROOKLYN,Unspecified,2020-03-23T19:35:24.000,The Department of Consumer Affairs has received your report. This request is under investigation. Th,,Closed,BATH AVENUE,,,45877561,,985222,157138
282,,NYPD,New York City Police Department,1022430372,MANHATTAN,,,,NEW YORK,2020-03-22T04:55:00.000,12 MANHATTAN,Noise - Residential,2020-03-22T02:40:49.000,WEST  215 STREET,WEST  218 STREET,Loud Music/Party,,,261 SEAMAN AVENUE,10034,WEST  215 STREET,WEST  218 STREET,SEAMAN AVENUE,40.87188625692909,"{'type': 'Point', 'coordinates': [-73.91799422212837, 40.87188625692909]}",,,,Residential Building/House,,-73.91799422212837,PHONE,MANHATTAN,Unspecified,2020-03-22T08:55:03.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,SEAMAN AVENUE,,,45876855,,1006930,256940
283,,NYPD,New York City Police Department,5044740065,STATEN ISLAND,,,,STATEN ISLAND,2020-03-22T07:13:19.000,03 STATEN ISLAND,Illegal Parking,2020-03-22T02:41:00.000,BOYCE AVENUE,ATMORE PLACE,Blocked Hydrant,,,23 CORONA AVENUE,10306,BOYCE AVENUE,ATMORE PLACE,CORONA AVENUE,40.564898718461656,"{'type': 'Point', 'coordinates': [-74.13686885205917, 40.564898718461656]}",,,,Street/Sidewalk,,-74.13686885205917,MOBILE,STATEN ISLAND,Unspecified,2020-03-22T11:13:21.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,CORONA AVENUE,,,45878139,,946222,145114
284,,NYPD,New York City Police Department,2027910054,BRONX,,,,BRONX,2020-03-22T04:47:26.000,04 BRONX,Noise - Residential,2020-03-22T02:41:06.000,EAST  173 STREET,EAST  174 STREET,Loud Music/Party,,,1685 TOPPING AVENUE,10457,EAST  173 STREET,EAST  174 STREET,TOPPING AVENUE,40.84379868918598,"{'type': 'Point', 'coordinates': [-73.90585244015028, 40.84379868918598]}",,,,Residential Building/House,,-73.90585244015028,PHONE,BRONX,Unspecified,2020-03-22T08:47:32.000,The Police Department responded to the complaint but officers were unable to gain entry into the pre,,Closed,TOPPING AVENUE,,,45876861,,1010299,246710
285,,NYPD,New York City Police Department,2024490077,BRONX,,,,BRONX,2020-03-22T04:49:07.000,04 BRONX,Noise - Residential,2020-03-22T02:41:57.000,MCCLELLAN STREET,EAST  167 STREET,Loud Music/Party,,,1149 MORRIS AVENUE,10456,MCCLELLAN STREET,EAST  167 STREET,MORRIS AVENUE,40.83200342611729,"{'type': 'Point', 'coordinates': [-73.91485256265439, 40.83200342611729]}",,,,,,-73.91485256265439,PHONE,BRONX,Unspecified,2020-03-22T08:49:12.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,MORRIS AVENUE,,,45879236,,1007813,242410
286,ADDRESS,HPD,Department of Housing Preservation and Development,1020740057,MANHATTAN,,,,NEW YORK,2020-03-23T19:00:33.000,09 MANHATTAN,HEAT/HOT WATER,2020-03-22T02:42:29.000,,,APARTMENT ONLY,,,532 WEST  143 STREET,10031,,,,40.82467381311749,"{'type': 'Point', 'coordinates': [-73.95032198607514, 40.82467381311749]}",,,,RESIDENTIAL BUILDING,,-73.95032198607514,PHONE,MANHATTAN,Unspecified,2020-03-23T19:00:33.000,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",,Closed,WEST  143 STREET,,,45876628,,997999,239732
287,ADDRESS,HPD,Department of Housing Preservation and Development,1020740057,MANHATTAN,,,,NEW YORK,,09 MANHATTAN,UNSANITARY CONDITION,2020-03-22T02:42:29.000,,,PESTS,,,532 WEST  143 STREET,10031,,,,40.82467381311749,"{'type': 'Point', 'coordinates': [-73.95032198607514, 40.82467381311749]}",,,,RESIDENTIAL BUILDING,,-73.95032198607514,PHONE,MANHATTAN,Unspecified,2020-03-22T00:00:00.000,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,,Open,WEST  143 STREET,,,45879581,,997999,239732
288,ADDRESS,HPD,Department of Housing Preservation and Development,1020740057,MANHATTAN,,,,NEW YORK,,09 MANHATTAN,PLUMBING,2020-03-22T02:42:29.000,,,RADIATOR,,,532 WEST  143 STREET,10031,,,,40.82467381311749,"{'type': 'Point', 'coordinates': [-73.95032198607514, 40.82467381311749]}",,,,RESIDENTIAL BUILDING,,-73.95032198607514,PHONE,MANHATTAN,Unspecified,2020-03-22T00:00:00.000,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,,Open,WEST  143 STREET,,,45879583,,997999,239732
289,ADDRESS,HPD,Department of Housing Preservation and Development,1020740057,MANHATTAN,,,,NEW YORK,,09 MANHATTAN,PLUMBING,2020-03-22T02:42:29.000,,,BATHTUB/SHOWER,,,532 WEST  143 STREET,10031,,,,40.82467381311749,"{'type': 'Point', 'coordinates': [-73.95032198607514, 40.82467381311749]}",,,,RESIDENTIAL BUILDING,,-73.95032198607514,PHONE,MANHATTAN,Unspecified,2020-03-22T00:00:00.000,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,,Open,WEST  143 STREET,,,45876346,,997999,239732
290,ADDRESS,HPD,Department of Housing Preservation and Development,1020740057,MANHATTAN,,,,NEW YORK,,09 MANHATTAN,UNSANITARY CONDITION,2020-03-22T02:42:29.000,,,MOLD,,,532 WEST  143 STREET,10031,,,,40.82467381311749,"{'type': 'Point', 'coordinates': [-73.95032198607514, 40.82467381311749]}",,,,RESIDENTIAL BUILDING,,-73.95032198607514,PHONE,MANHATTAN,Unspecified,2020-03-22T00:00:00.000,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,,Open,WEST  143 STREET,,,45876888,,997999,239732
291,ADDRESS,HPD,Department of Housing Preservation and Development,2033330009,BRONX,,,,BRONX,2020-03-23T02:05:29.000,07 BRONX,HEAT/HOT WATER,2020-03-22T02:42:39.000,,,ENTIRE BUILDING,,,3050 PERRY AVENUE,10467,,,,40.87241005370677,"{'type': 'Point', 'coordinates': [-73.87988298692268, 40.87241005370677]}",,,,RESIDENTIAL BUILDING,,-73.87988298692268,PHONE,BRONX,Unspecified,2020-03-23T02:05:29.000,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",,Closed,PERRY AVENUE,,,45879605,,1017470,257143
292,,NYPD,New York City Police Department,,STATEN ISLAND,,,,,2020-03-22T03:46:24.000,03 STATEN ISLAND,Illegal Parking,2020-03-22T02:43:33.000,SPRAGUE AVENUE,SURF AVENUE,Posted Parking Sign Violation,,,SURF AVENUE,10307,SPRAGUE AVENUE,SURF AVENUE,,40.50041737175639,"{'type': 'Point', 'coordinates': [-74.23648507458093, 40.50041737175639]}",,,,Street/Sidewalk,,-74.23648507458093,MOBILE,STATEN ISLAND,Unspecified,2020-03-22T07:46:30.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,SURF AVENUE,,,45877634,,918481,121681
293,ADDRESS,DSNY,Department of Sanitation,1004060008,MANHATTAN,,,,NEW YORK,,03 MANHATTAN,Graffiti,2020-03-22T02:43:38.000,,,Graffiti,2020-04-21T02:43:38.000,N/A,208 AVENUE A,10009,,,,40.72962447807761,"{'type': 'Point', 'coordinates': [-73.98091699541715, 40.72962447807761]}",,,,Mixed Use,,-73.98091699541715,UNKNOWN,MANHATTAN,Unspecified,2020-03-22T02:43:38.000,The graffiti on this property has been scheduled to be removed by the City.,,Open,AVENUE A,,,45878705,,989539,205099
294,,NYPD,New York City Police Department,2024490077,BRONX,,,,BRONX,2020-03-22T04:49:30.000,04 BRONX,Noise - Residential,2020-03-22T02:43:54.000,MCCLELLAN STREET,EAST  167 STREET,Loud Music/Party,,,1149 MORRIS AVENUE,10456,MCCLELLAN STREET,EAST  167 STREET,MORRIS AVENUE,40.83200342611729,"{'type': 'Point', 'coordinates': [-73.91485256265439, 40.83200342611729]}",,,,,,-73.91485256265439,PHONE,BRONX,Unspecified,2020-03-22T08:49:32.000,The Police Department responded to the complaint and determined that police action was not necessary,,Closed,MORRIS AVENUE,,,45879284,,1007813,242410
295,,NYPD,New York City Police Department,2032480018,BRONX,,,,BRONX,2020-03-22T09:48:28.000,08 BRONX,Noise - Residential,2020-03-22T02:44:02.000,EAMES PLACE,WEST  195 STREET,Loud Music/Party,,,2714 UNIVERSITY AVENUE,10468,EAMES PLACE,WEST  195 STREET,UNIVERSITY AVENUE,40.86937181971161,"{'type': 'Point', 'coordinates': [-73.90019752857575, 40.86937181971161]}",,,,Residential Building/House,,-73.90019752857575,MOBILE,BRONX,Unspecified,2020-03-22T13:48:32.000,The Police Department reviewed your complaint and provided additional information below.,,Closed,UNIVERSITY AVENUE,,,45875825,,1011853,256029
296,,NYPD,New York City Police Department,3024250040,BROOKLYN,,,,BROOKLYN,2020-03-22T16:23:40.000,01 BROOKLYN,Noise - Residential,2020-03-22T02:44:12.000,HOOPER STREET,HEWES STREET,Loud Music/Party,,,383 SOUTH THIRD STREET,11211,HOOPER STREET,HEWES STREET,SOUTH    3 STREET,40.708739481884855,"{'type': 'Point', 'coordinates': [-73.95216856726594, 40.708739481884855]}",,,,Residential Building/House,,-73.95216856726594,MOBILE,BROOKLYN,Unspecified,2020-03-22T20:23:41.000,The Police Department reviewed your complaint and provided additional information below.,,Closed,SOUTH THIRD STREET,,,45876328,,997511,197493
297,ADDRESS,HPD,Department of Housing Preservation and Development,2033330009,BRONX,,,,BRONX,,07 BRONX,PLUMBING,2020-03-22T02:45:36.000,,,BASIN/SINK,,,3050 PERRY AVENUE,10467,,,,40.87241005370677,"{'type': 'Point', 'coordinates': [-73.87988298692268, 40.87241005370677]}",,,,RESIDENTIAL BUILDING,,-73.87988298692268,PHONE,BRONX,Unspecified,2020-03-22T00:00:00.000,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,,Open,PERRY AVENUE,,,45878439,,1017470,257143
298,,NYPD,New York City Police Department,1020460063,MANHATTAN,,,,NEW YORK,2020-03-22T04:52:13.000,10 MANHATTAN,Noise - Residential,2020-03-22T02:46:15.000,WEST  152 STREET,WEST  153 STREET,Banging/Pounding,,,2855 8 AVENUE,10039,WEST  152 STREET,WEST  153 STREET,8 AVENUE,40.82741013202918,"{'type': 'Point', 'coordinates': [-73.93858736851621, 40.82741013202918]}",,,,,,-73.93858736851621,PHONE,MANHATTAN,Unspecified,2020-03-22T08:52:18.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,8 AVENUE,,,45879307,,1001246,240731
299,,NYPD,New York City Police Department,3014880103,BROOKLYN,,,,BROOKLYN,2020-03-22T04:31:57.000,03 BROOKLYN,Noise - Residential,2020-03-22T02:46:16.000,HOWARD AVENUE,SARATOGA AVENUE,Loud Music/Party,,,928 JEFFERSON AVENUE,11221,HOWARD AVENUE,SARATOGA AVENUE,JEFFERSON AVENUE,40.686703226863735,"{'type': 'Point', 'coordinates': [-73.92019790943178, 40.686703226863735]}",,,,Residential Building/House,,-73.92019790943178,MOBILE,BROOKLYN,Unspecified,2020-03-22T08:31:58.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,JEFFERSON AVENUE,,,45878883,,1006382,189471
300,ADDRESS,HPD,Department of Housing Preservation and Development,3010590055,BROOKLYN,,,,BROOKLYN,2020-03-23T02:05:25.000,06 BROOKLYN,HEAT/HOT WATER,2020-03-22T02:48:15.000,,,APARTMENT ONLY,,,225 LINCOLN PLACE,11217,,,,40.675122831761236,"{'type': 'Point', 'coordinates': [-73.9730085652453, 40.675122831761236]}",,,,RESIDENTIAL BUILDING,,-73.9730085652453,PHONE,BROOKLYN,Unspecified,2020-03-23T02:05:25.000,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",,Closed,LINCOLN PLACE,,,45876642,,991737,185243
301,INTERSECTION,DSNY,BCC - Brooklyn North,,BROOKLYN,,,,,2020-03-22T12:00:00.000,05 BROOKLYN,Derelict Vehicles,2020-03-22T02:49:00.000,,,14 Derelict Vehicles,,DSNY Garage,,,GLENMORE AVENUE,GLENMORE AVENUE,,,,,,,Street,,,PHONE,BROOKLYN,Unspecified,2020-03-22T06:54:00.000,,,Closed,,,,45878639,,,
302,,NYPD,New York City Police Department,3051000091,BROOKLYN,,,,BROOKLYN,2020-03-22T04:18:31.000,14 BROOKLYN,Noise - Residential,2020-03-22T02:49:23.000,TENNIS COURT,ALBEMARLE ROAD,Loud Music/Party,,,65 EAST   19 STREET,11226,TENNIS COURT,ALBEMARLE ROAD,EAST   19 STREET,40.647990264691344,"{'type': 'Point', 'coordinates': [-73.96182663286919, 40.647990264691344]}",,,,Residential Building/House,,-73.96182663286919,ONLINE,BROOKLYN,Unspecified,2020-03-22T08:18:34.000,The Police Department responded to the complaint but officers were unable to gain entry into the pre,,Closed,EAST   19 STREET,,,45875754,,994843,175359
303,ADDRESS,HPD,Department of Housing Preservation and Development,3044020027,BROOKLYN,,,,BROOKLYN,,05 BROOKLYN,ELECTRIC,2020-03-22T02:51:09.000,,,OUTLET/SWITCH,,,978 ASHFORD STREET,11207,,,,40.65861712363915,"{'type': 'Point', 'coordinates': [-73.87779905889599, 40.65861712363915]}",,,,RESIDENTIAL BUILDING,,-73.87779905889599,ONLINE,BROOKLYN,Unspecified,2020-03-22T00:00:00.000,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,,Open,ASHFORD STREET,,,45876562,,1018155,179252
304,ADDRESS,HPD,Department of Housing Preservation and Development,3044020027,BROOKLYN,,,,BROOKLYN,,05 BROOKLYN,DOOR/WINDOW,2020-03-22T02:51:09.000,,,DOOR,,,978 ASHFORD STREET,11207,,,,40.65861712363915,"{'type': 'Point', 'coordinates': [-73.87779905889599, 40.65861712363915]}",,,,RESIDENTIAL BUILDING,,-73.87779905889599,ONLINE,BROOKLYN,Unspecified,2020-03-22T00:00:00.000,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,,Open,ASHFORD STREET,,,45876553,,1018155,179252
305,ADDRESS,HPD,Department of Housing Preservation and Development,3044020027,BROOKLYN,,,,BROOKLYN,,05 BROOKLYN,WATER LEAK,2020-03-22T02:51:09.000,,,SLOW LEAK,,,978 ASHFORD STREET,11207,,,,40.65861712363915,"{'type': 'Point', 'coordinates': [-73.87779905889599, 40.65861712363915]}",,,,RESIDENTIAL BUILDING,,-73.87779905889599,ONLINE,BROOKLYN,Unspecified,2020-03-22T00:00:00.000,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,,Open,ASHFORD STREET,,,45875853,,1018155,179252
306,ADDRESS,HPD,Department of Housing Preservation and Development,3044020027,BROOKLYN,,,,BROOKLYN,,05 BROOKLYN,DOOR/WINDOW,2020-03-22T02:51:09.000,,,WINDOW FRAME,,,978 ASHFORD STREET,11207,,,,40.65861712363915,"{'type': 'Point', 'coordinates': [-73.87779905889599, 40.65861712363915]}",,,,RESIDENTIAL BUILDING,,-73.87779905889599,ONLINE,BROOKLYN,Unspecified,2020-03-22T00:00:00.000,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,,Open,ASHFORD STREET,,,45876066,,1018155,179252
