,address_type,agency,agency_name,bbl,borough,bridge_highway_direction,bridge_highway_segment,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,latitude,location,location_address,location_city,location_state,location_type,location_zip,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,road_ramp,status,street_name,taxi_pick_up_location,unique_key,vehicle_type,x_coordinate_state_plane,y_coordinate_state_plane
801,INTERSECTION,DOT,Department of Transportation,,BROOKLYN,,,BROOKLYN,2020-03-20T09:37:00.000,05 BROOKLYN,Street Light Condition,2020-03-24T09:38:00.000,,,Street Light Out,,,,11208,MONTAUK AVENUE,LIBERTY AVENUE,,40.677035492007406,"{'type': 'Point', 'coordinates': [-73.87864498216469, 40.677035492007406]}",,,,,,-73.87864498216469,UNKNOWN,BROOKLYN,Unspecified,2020-03-20T09:37:00.000,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,,Pending,,,45887318,,1017911,185962
802,INTERSECTION,DOT,Department of Transportation,,BROOKLYN,,,,2020-03-20T09:38:00.000,Unspecified BROOKLYN,Street Light Condition,2020-03-24T09:38:00.000,,,Fixture/Luminaire Door Open,,,,,NEW LOTS AVE,MONTAUK AVE,,,,,,,,,,UNKNOWN,BROOKLYN,Unspecified,2020-03-20T09:38:00.000,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,,Pending,,,45888396,,,
803,ADDRESS,DEP,Department of Environmental Protection,,BRONX,,,BRONX,,08 BRONX,Noise,2020-03-24T09:39:00.000,W 195 ST,STRONG ST,Noise: Construction Equipment (NC1),,N/A,2770 UNIVERSITY AVENUE,10468,,,,40.87069413069924,"{'type': 'Point', 'coordinates': [-73.89946878580199, 40.87069413069924]}",,,,,,-73.89946878580199,PHONE,BRONX,Unspecified,2020-03-25T06:26:00.000,The Department of Environmental Protection has inspected your complaint and determined that further investigation is required. More information will be available once the condition is resolved. Please visit nyc.gov/311 or call 311 at a later time to check the status of your complaint.,,Started,UNIVERSITY AVENUE,,45890439,,1012054,256511
804,ADDRESS,DEP,Department of Environmental Protection,3067670070,BROOKLYN,,,BROOKLYN,,14 BROOKLYN,Noise,2020-03-24T09:39:00.000,AVENUE O,AVENUE P,Noise: Construction Equipment (NC1),,N/A,2045 OCEAN AVENUE,11230,,,,40.61214861324696,"{'type': 'Point', 'coordinates': [-73.95381532325361, 40.61214861324696]}",,,,,,-73.95381532325361,PHONE,BROOKLYN,Unspecified,2020-03-25T10:46:00.000,The Department of Environmental Protection has inspected your complaint and determined that further investigation is required. More information will be available once the condition is resolved. Please visit nyc.gov/311 or call 311 at a later time to check the status of your complaint.,,Started,OCEAN AVENUE,,45888994,,997073,162302
805,ADDRESS,DEP,Department of Environmental Protection,3019250001,BROOKLYN,,,BROOKLYN,,03 BROOKLYN,Noise,2020-03-24T09:39:00.000,WILLOUGHBY AVE,DE KALB AVE,Noise: Jack Hammering (NC2),,N/A,241 TAAFFE PLACE,11205,,,,40.69113738107441,"{'type': 'Point', 'coordinates': [-73.95955540938948, 40.69113738107441]}",,,,,,-73.95955540938948,PHONE,BROOKLYN,Unspecified,,,,Open,TAAFFE PLACE,,45890419,,995466,191079
806,ADDRESS,DEP,Department of Environmental Protection,3052140060,BROOKLYN,,,BROOKLYN,,17 BROOKLYN,Air Quality,2020-03-24T09:39:00.000,NEWKIRK AVE,FOSTER AVE,"Air: Dust, Construction/Demolition (AE4)",,N/A,486 EAST   28 STREET,11226,,,,40.638897843285655,"{'type': 'Point', 'coordinates': [-73.95022248459358, 40.638897843285655]}",,,,,,-73.95022248459358,PHONE,BROOKLYN,Unspecified,,,,Open,EAST   28 STREET,,45890385,,998065,172048
807,,DOT,Department of Transportation,4052740029,QUEENS,,,FLUSHING,,07 QUEENS,Street Sign - Missing,2020-03-24T09:39:11.000,35 AVENUE,NORTHERN BOULEVARD,"No Parking, Standing, Stopping",,,35-25 158 STREET,11358,35 AVENUE,NORTHERN BOULEVARD,158 STREET,40.76538230321968,"{'type': 'Point', 'coordinates': [-73.80707101936274, 40.76538230321968]}",,,,Street,,-73.80707101936274,PHONE,QUEENS,Unspecified,2020-03-24T14:10:59.000,The Department of Transportation inspected the condition and opened a repair order. Repairs of this,,In Progress,158 STREET,,45885444,,1037693,218185
808,ADDRESS,DOB,Department of Buildings,,QUEENS,,,,2020-03-25T00:00:00.000,Unspecified QUEENS,General Construction/Plumbing,2020-03-24T09:39:36.000,,,Building Permit - None,,,INWOOD STREET,,,,,,,,,,,,,UNKNOWN,QUEENS,Unspecified,2020-03-25T00:00:00.000,"The Department of Buildings attempted to investigate this complaint but could not locate the premises. If the problem still exists, please call 311 and file a new complaint with additional information about how to locate the building. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",,Closed,INWOOD STREET,,45887619,,,
809,ADDRESS,HPD,Department of Housing Preservation and Development,2028050031,BRONX,,,BRONX,,05 BRONX,UNSANITARY CONDITION,2020-03-24T09:40:00.000,,,PESTS,,,1892 MORRIS AVENUE,10453,,,,40.8491966512116,"{'type': 'Point', 'coordinates': [-73.90816895118434, 40.8491966512116]}",,,,RESIDENTIAL BUILDING,,-73.90816895118434,PHONE,BRONX,Unspecified,2020-03-24T00:00:00.000,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,,Open,MORRIS AVENUE,,45889787,,1009656,248676
810,ADDRESS,DEP,Department of Environmental Protection,4081160045,QUEENS,,,Little Neck,,11 QUEENS,Sewer,2020-03-24T09:40:00.000,40 AVE,41 AVE,Street Flooding (SJ),,,40-04 247 STREET,11363,,,,40.77193688391523,"{'type': 'Point', 'coordinates': [-73.74376603575038, 40.77193688391523]}",,,,,,-73.74376603575038,PHONE,QUEENS,Unspecified,,,,Open,247 STREET,,45889737,,1055222,220618
811,INTERSECTION,DOT,Department of Transportation,,BROOKLYN,,,BROOKLYN,2020-03-20T09:40:00.000,03 BROOKLYN,Street Light Condition,2020-03-24T09:40:00.000,,,Street Light Out,,,,11233,PATCHEN AVENUE,DECATUR STREET,,40.682307199398274,"{'type': 'Point', 'coordinates': [-73.92594672612894, 40.682307199398274]}",,,,,,-73.92594672612894,UNKNOWN,BROOKLYN,Unspecified,2020-03-20T09:40:00.000,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,,Pending,,,45887376,,1004789,187868
812,INTERSECTION,DOT,Department of Transportation,,BROOKLYN,,,BROOKLYN,2020-03-20T09:40:00.000,16 BROOKLYN,Street Light Condition,2020-03-24T09:40:00.000,,,Street Light Out,,,,11233,MAC DOUGAL STREET,ROCKAWAY AVENUE,,40.680240947034,"{'type': 'Point', 'coordinates': [-73.91122462823216, 40.680240947034]}",,,,,,-73.91122462823216,UNKNOWN,BROOKLYN,Unspecified,2020-03-20T09:40:00.000,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,,Pending,,,45887336,,1008873,187119
813,,NYPD,New York City Police Department,,QUEENS,,,,2020-03-24T16:17:39.000,12 QUEENS,Abandoned Vehicle,2020-03-24T09:40:58.000,127 AVENUE,177 STREET,With License Plate,,,127 AVENUE,11434,127 AVENUE,177 STREET,,40.681362967586075,"{'type': 'Point', 'coordinates': [-73.76599197735847, 40.681362967586075]}",,,,,,-73.76599197735847,PHONE,QUEENS,Unspecified,2020-03-24T20:17:41.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,127 AVENUE,,45886615,,1049154,187602
814,INTERSECTION,DOT,Department of Transportation,,BROOKLYN,,,BROOKLYN,2020-03-20T09:41:00.000,03 BROOKLYN,Street Light Condition,2020-03-24T09:41:00.000,,,Street Light Lamp Dim,,,,11233,FULTON STREET,SARATOGA AVENUE,,40.678575927581726,"{'type': 'Point', 'coordinates': [-73.91629949498605, 40.678575927581726]}",,,,,,-73.91629949498605,UNKNOWN,BROOKLYN,Unspecified,2020-03-20T09:41:00.000,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,,Pending,,,45885769,,1007466,186511
815,ADDRESS,HPD,Department of Housing Preservation and Development,3030580001,BROOKLYN,,,BROOKLYN,2020-03-25T16:30:58.000,01 BROOKLYN,PLUMBING,2020-03-24T09:41:04.000,,,WATER SUPPLY,,,25 BOERUM STREET,11206,,,,40.70535920820389,"{'type': 'Point', 'coordinates': [-73.94875540750569, 40.70535920820389]}",,,,RESIDENTIAL BUILDING,,-73.94875540750569,PHONE,BROOKLYN,Unspecified,2020-03-25T16:30:58.000,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,,Closed,BOERUM STREET,,45886259,,998458,196262
816,,NYPD,New York City Police Department,2028390053,BRONX,,,BRONX,2020-03-24T14:13:25.000,04 BRONX,Noise - Residential,2020-03-24T09:41:46.000,WALTON AVENUE,GRAND CONCOURSE,Banging/Pounding,,,128 EAST CLARKE PLACE,10452,WALTON AVENUE,GRAND CONCOURSE,EAST CLARKE PLACE,40.83747774480411,"{'type': 'Point', 'coordinates': [-73.9167175596753, 40.83747774480411]}",,,,Residential Building/House,,-73.9167175596753,MOBILE,BRONX,Unspecified,2020-03-24T18:13:31.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,EAST CLARKE PLACE,,45888557,,1007295,244404
817,,DCA,Department of Consumer Affairs,4042820100,QUEENS,,,WHITESTONE,2020-03-25T10:06:42.000,07 QUEENS,Consumer Complaint,2020-03-24T09:41:48.000,WHITESTONE EXPWY SB EN   20 AVE,WHITESTONE EXPRESSWAY ET   14 SB,Retail Store,,,25-70 WHITESTONE EXPRESSWAY,11357,WHITESTONE EXPWY SB EN   20 AVE,WHITESTONE EXPRESSWAY ET   14 SB,WHITESTONE EXPRESSWAY,40.777489697218286,"{'type': 'Point', 'coordinates': [-73.82807884756043, 40.777489697218286]}",,,,,,-73.82807884756043,PHONE,QUEENS,Unspecified,2020-03-25T14:06:46.000,The Department of Consumer Affairs has received your report. This request is under investigation. Th,,Closed,WHITESTONE EXPRESSWAY,,45887977,,1031865,222584
818,INTERSECTION,DOT,Department of Transportation,,BROOKLYN,,,BROOKLYN,2020-03-20T09:42:00.000,18 BROOKLYN,Street Light Condition,2020-03-24T09:42:00.000,,,Street Light Out,,,,11234,AVENUE V,KIMBALL ROAD,,40.60671662483515,"{'type': 'Point', 'coordinates': [-73.92300898639985, 40.60671662483515]}",,,,,,-73.92300898639985,UNKNOWN,BROOKLYN,Unspecified,2020-03-20T09:42:00.000,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,,Pending,,,45889960,,1005628,160329
819,,DCA,Department of Consumer Affairs,1018730052,MANHATTAN,,,NEW YORK,2020-03-25T10:06:43.000,07 MANHATTAN,Consumer Complaint,2020-03-24T09:42:04.000,WEST  101 STREET,WEST  102 STREET,Retail Store,,,2675 BROADWAY,10025,WEST  101 STREET,WEST  102 STREET,BROADWAY,40.79833104656863,"{'type': 'Point', 'coordinates': [-73.96911567530081, 40.79833104656863]}",,,,Commercial Building,,-73.96911567530081,ONLINE,MANHATTAN,Unspecified,2020-03-25T14:06:44.000,The Department of Consumer Affairs has received your report. This request is under investigation. Th,,Closed,BROADWAY,,45889982,,992801,230132
820,,DCA,Department of Consumer Affairs,3046650001,BROOKLYN,,,BROOKLYN,,17 BROOKLYN,Consumer Complaint,2020-03-24T09:42:07.000,LENOX ROAD,EAST   58 STREET,Retail Store,,,405 REMSEN AVENUE,11212,LENOX ROAD,EAST   58 STREET,REMSEN AVENUE,40.65574969543047,"{'type': 'Point', 'coordinates': [-73.92323351548474, 40.65574969543047]}",,,,Commercial Building,,-73.92323351548474,ONLINE,BROOKLYN,Unspecified,,,,In Progress,REMSEN AVENUE,,45889984,,1005550,178193
821,,DPR,Department of Parks and Recreation,,MANHATTAN,,,,,Unspecified MANHATTAN,New Tree Request,2020-03-24T09:42:20.000,7 AVENUE,8 AVENUE,For One Address,,,WEST  145 STREET,10039,7 AVENUE,8 AVENUE,,,,,,,Street,,,PHONE,MANHATTAN,Unspecified,,,,In Progress,WEST  145 STREET,,45886517,,,
822,,DCA,Department of Consumer Affairs,3043340007,BROOKLYN,,,BROOKLYN,2020-03-25T11:35:24.000,05 BROOKLYN,Consumer Complaint,2020-03-24T09:42:25.000,WARWICK STREET,ASHFORD STREET,Bodega/Deli/Supermarket,,,2205 LINDEN BOULEVARD,11207,WARWICK STREET,ASHFORD STREET,LINDEN BOULEVARD,40.66253500774189,"{'type': 'Point', 'coordinates': [-73.88145398226816, 40.66253500774189]}",,,,,,-73.88145398226816,PHONE,BROOKLYN,Unspecified,2020-03-25T15:35:28.000,"Unfortunately, the behavior that you complained about does not violate any law or rule. As a result,",,Closed,LINDEN BOULEVARD,,45887944,,1017139,180678
823,ADDRESS,DOB,Department of Buildings,3027330004,BROOKLYN,,,BROOKLYN,2020-03-24T09:42:37.000,01 BROOKLYN,General Construction/Plumbing,2020-03-24T09:42:37.000,,,Posted Notice Or Order Removed/Tampered With,,,386 LEONARD STREET,11211,,,,40.71809197861415,"{'type': 'Point', 'coordinates': [-73.94834519279495, 40.71809197861415]}",,,,,,-73.94834519279495,UNKNOWN,BROOKLYN,Unspecified,2020-03-24T00:00:00.000,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,,Open,LEONARD STREET,,45886107,,998569,200901
824,ADDRESS,DOB,Department of Buildings,4095180034,QUEENS,,,South Richmond Hill,2020-03-24T09:42:43.000,10 QUEENS,General Construction/Plumbing,2020-03-24T09:42:43.000,,,Building Permit - None,,,103-21 113 STREET,11419,,,,40.68599837148361,"{'type': 'Point', 'coordinates': [-73.82975701567588, 40.68599837148361]}",,,,,,-73.82975701567588,UNKNOWN,QUEENS,Unspecified,2020-03-24T00:00:00.000,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,,Open,113 STREET,,45886868,,1031465,189250
825,INTERSECTION,DOT,Department of Transportation,,BROOKLYN,,,,2020-03-20T09:43:00.000,Unspecified BROOKLYN,Street Light Condition,2020-03-24T09:43:00.000,,,Street Light Out,,,,,32 ST E,AVE S,,,,,,,,,,UNKNOWN,BROOKLYN,Unspecified,2020-03-20T09:43:00.000,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,,Pending,,,45890021,,,
826,ADDRESS,DEP,Department of Environmental Protection,3002610022,BROOKLYN,,,BROOKLYN,,02 BROOKLYN,Noise,2020-03-24T09:43:00.000,JORALEMON ST,STATE ST,Noise: Construction Equipment (NC1),,N/A,271 HICKS STREET,11201,,,,40.6931508710679,"{'type': 'Point', 'coordinates': [-73.99684828473363, 40.6931508710679]}",,,,,,-73.99684828473363,PHONE,BROOKLYN,Unspecified,,,,Open,HICKS STREET,,45886798,,985124,191810
827,ADDRESS,HPD,Department of Housing Preservation and Development,1004370006,MANHATTAN,,,NEW YORK,2020-03-25T20:09:10.000,03 MANHATTAN,HEAT/HOT WATER,2020-03-24T09:43:02.000,,,ENTIRE BUILDING,,,158 1 AVENUE,10009,,,,40.72853810446628,"{'type': 'Point', 'coordinates': [-73.98458663899777, 40.72853810446628]}",,,,RESIDENTIAL BUILDING,,-73.98458663899777,PHONE,MANHATTAN,Unspecified,2020-03-25T20:09:10.000,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",,Closed,1 AVENUE,,45886183,,988522,204703
828,,NYPD,New York City Police Department,3025220056,BROOKLYN,,,BROOKLYN,2020-03-24T11:09:14.000,01 BROOKLYN,Noise - Residential,2020-03-24T09:43:15.000,FRANKLIN STREET,MANHATTAN AVENUE,Banging/Pounding,,,139 HURON STREET,11222,FRANKLIN STREET,MANHATTAN AVENUE,HURON STREET,40.73291959524217,"{'type': 'Point', 'coordinates': [-73.95600480451102, 40.73291959524217]}",,,,Residential Building/House,,-73.95600480451102,MOBILE,BROOKLYN,Unspecified,2020-03-24T15:09:24.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,HURON STREET,,45888524,,996443,206302
829,,NYPD,New York City Police Department,,QUEENS,,,,2020-03-24T10:46:49.000,04 QUEENS,Noise - Park,2020-03-24T09:43:27.000,101 STREET,LEWIS AVENUE,Loud Music/Party,,,101 STREET,11368,101 STREET,LEWIS AVENUE,,40.740357418930216,"{'type': 'Point', 'coordinates': [-73.85949045989219, 40.740357418930216]}",,,,Park/Playground,,-73.85949045989219,PHONE,QUEENS,Unspecified,2020-03-24T14:46:53.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,101 STREET,,45889167,,1023187,209040
830,,DCA,Department of Consumer Affairs,2027240169,BRONX,,,BRONX,2020-03-25T10:06:42.000,02 BRONX,Consumer Complaint,2020-03-24T09:43:41.000,EAST  163 STREET,ALDUS STREET,Retail Store,,,995 SOUTHERN BOULEVARD,10459,EAST  163 STREET,ALDUS STREET,SOUTHERN BOULEVARD,40.8226355750139,"{'type': 'Point', 'coordinates': [-73.89177683669608, 40.8226355750139]}",,,,Commercial Building,,-73.89177683669608,ONLINE,BRONX,Unspecified,2020-03-25T14:06:46.000,The Department of Consumer Affairs has received your report. This request is under investigation. Th,,Closed,SOUTHERN BOULEVARD,,45888731,,1014203,239004
831,INTERSECTION,DOT,Department of Transportation,,BROOKLYN,,,BROOKLYN,2020-03-20T09:44:00.000,18 BROOKLYN,Street Light Condition,2020-03-24T09:44:00.000,,,Street Light Out,,,,11234,MARINE PARKWAY,QUENTIN ROAD,,40.61181894734315,"{'type': 'Point', 'coordinates': [-73.94116281874216, 40.61181894734315]}",,,,,,-73.94116281874216,UNKNOWN,BROOKLYN,Unspecified,2020-03-20T09:44:00.000,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,,Pending,,,45890650,,1000586,162184
832,,DCA,Department of Consumer Affairs,1014260025,MANHATTAN,,,NEW YORK,2020-03-25T10:06:42.000,08 MANHATTAN,Consumer Complaint,2020-03-24T09:44:03.000,3 AVENUE,2 AVENUE,Retail Store,,,260 EAST   72 STREET,10021,3 AVENUE,2 AVENUE,EAST   72 STREET,40.769192650040125,"{'type': 'Point', 'coordinates': [-73.95931305627636, 40.769192650040125]}",,,,,,-73.95931305627636,PHONE,MANHATTAN,Unspecified,2020-03-25T14:06:46.000,The Department of Consumer Affairs has received your report. This request is under investigation. Th,,Closed,EAST   72 STREET,,45890133,,995520,219517
833,INTERSECTION,DOT,Department of Transportation,,BROOKLYN,,,BROOKLYN,2020-03-20T09:45:00.000,18 BROOKLYN,Street Light Condition,2020-03-24T09:45:00.000,,,Street Light Out,,,,11234,UTICA AVENUE,AVENUE N,,40.61894995703783,"{'type': 'Point', 'coordinates': [-73.92687791205545, 40.61894995703783]}",,,,,,-73.92687791205545,UNKNOWN,BROOKLYN,Unspecified,2020-03-20T09:45:00.000,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,,Pending,,,45887315,,1004550,164785
834,INTERSECTION,DOT,Department of Transportation,,BROOKLYN,,,BROOKLYN,2020-03-20T09:45:00.000,18 BROOKLYN,Street Light Condition,2020-03-24T09:45:00.000,,,Street Light Out,,,,11234,AVENUE N,UTICA AVENUE,,40.61894995703783,"{'type': 'Point', 'coordinates': [-73.92687791205545, 40.61894995703783]}",,,,,,-73.92687791205545,UNKNOWN,BROOKLYN,Unspecified,2020-03-20T09:45:00.000,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,,Pending,,,45888178,,1004550,164785
835,,NYPD,New York City Police Department,1015680008,MANHATTAN,,,NEW YORK,2020-03-24T15:13:20.000,08 MANHATTAN,Illegal Parking,2020-03-24T09:45:06.000,1 AVENUE,YORK AVENUE,Parking Permit Improper Use,,,421 EAST   88 STREET,10128,1 AVENUE,YORK AVENUE,EAST   88 STREET,40.77791076927366,"{'type': 'Point', 'coordinates': [-73.9477571892288, 40.77791076927366]}",,,,Street/Sidewalk,,-73.9477571892288,ONLINE,MANHATTAN,Unspecified,2020-03-24T19:13:23.000,The Police Department responded to the complaint and determined that police action was not necessary,,Closed,EAST   88 STREET,,45885932,,998719,222695
836,ADDRESS,DOB,Department of Buildings,3052140060,BROOKLYN,,,BROOKLYN,2020-03-24T09:45:46.000,17 BROOKLYN,General Construction/Plumbing,2020-03-24T09:45:46.000,,,Debris - Excessive,,,486 EAST   28 STREET,11226,,,,40.638897843285655,"{'type': 'Point', 'coordinates': [-73.95022248459358, 40.638897843285655]}",,,,,,-73.95022248459358,UNKNOWN,BROOKLYN,Unspecified,2020-03-24T00:00:00.000,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,,Open,EAST   28 STREET,,45890537,,998065,172048
837,ADDRESS,DEP,Department of Environmental Protection,1009270055,MANHATTAN,,,NEW YORK,2020-03-25T11:00:00.000,06 MANHATTAN,Noise,2020-03-24T09:46:00.000,2 AVE,1 AVE,Noise: Jack Hammering (NC2),,N/A,310 EAST   22 STREET,10010,,,,40.73699138961903,"{'type': 'Point', 'coordinates': [-73.98086436716805, 40.73699138961903]}",,,,,,-73.98086436716805,PHONE,MANHATTAN,Unspecified,2020-03-25T11:00:00.000,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",,Closed,EAST   22 STREET,,45889000,,989553,207783
838,ADDRESS,DEP,Department of Environmental Protection,1001370035,MANHATTAN,,,NEW YORK,2020-03-25T13:45:00.000,01 MANHATTAN,Noise,2020-03-24T09:46:00.000,WARREN ST,CHAMBERS ST,Noise: Jack Hammering (NC2),,N/A,90 WEST BROADWAY,10007,,,,40.71528156590863,"{'type': 'Point', 'coordinates': [-74.00944024882699, 40.71528156590863]}",,,,,,-74.00944024882699,PHONE,MANHATTAN,Unspecified,2020-03-25T13:45:00.000,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",,Closed,WEST BROADWAY,,45888946,,981633,199873
839,ADDRESS,DEP,Department of Environmental Protection,3072950058,BROOKLYN,,,BROOKLYN,2020-03-24T19:20:00.000,15 BROOKLYN,Water System,2020-03-24T09:46:00.000,AVENUE S,AVENUE T,No Water (WNW),,,1973 EAST   16 STREET,11229,,,,40.6019937427767,"{'type': 'Point', 'coordinates': [-73.95604426256608, 40.6019937427767]}",,,,,,-73.95604426256608,PHONE,BROOKLYN,Unspecified,2020-03-24T19:20:00.000,The Department of Environmental Protection investigated this complaint and determined it is an inside condition within the complainant's property.,,Closed,EAST   16 STREET,,45885842,,996456,158602
840,INTERSECTION,DOT,Department of Transportation,,MANHATTAN,,,NEW YORK,2020-03-24T09:46:00.000,01 MANHATTAN,Street Light Condition,2020-03-24T09:46:00.000,,,Lamppost Base Door/Cover Open,,,,10007,MURRAY STREET,CHURCH STREET,,40.71379669852593,"{'type': 'Point', 'coordinates': [-74.00883042197182, 40.71379669852593]}",,,,,,-74.00883042197182,UNKNOWN,MANHATTAN,Unspecified,2020-03-23T21:20:00.000,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,,Closed,,,45889933,,981802,199332
841,INTERSECTION,DOT,Department of Transportation,,BROOKLYN,,,,2020-03-20T09:46:00.000,Unspecified BROOKLYN,Street Light Condition,2020-03-24T09:46:00.000,,,Street Light Out,,,,,MAYFAIR DR N,64 ST E,,,,,,,,,,UNKNOWN,BROOKLYN,Unspecified,2020-03-20T09:46:00.000,"Service Request status for this request is available on the Department of Transportation's website. Please click the ""Learn More"" link below.",,Pending,,,45890710,,,
842,ADDRESS,HPD,Department of Housing Preservation and Development,2031730013,BRONX,,,BRONX,,05 BRONX,HEAT/HOT WATER,2020-03-24T09:46:07.000,,,ENTIRE BUILDING,,,2420 MORRIS AVENUE,10468,,,,40.860978589282496,"{'type': 'Point', 'coordinates': [-73.90026435184974, 40.860978589282496]}",,,,RESIDENTIAL BUILDING,,-73.90026435184974,PHONE,BRONX,Unspecified,2020-03-24T00:00:00.000,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,,Open,MORRIS AVENUE,,45890341,,1011838,252971
843,ADDRESS,HPD,Department of Housing Preservation and Development,2032530099,BRONX,,,BRONX,2020-03-24T11:52:20.000,08 BRONX,HEAT/HOT WATER,2020-03-24T09:46:12.000,,,ENTIRE BUILDING,,,2829 SEDGWICK AVENUE,10468,,,,40.87307043864481,"{'type': 'Point', 'coordinates': [-73.90196373932577, 40.87307043864481]}",,,,RESIDENTIAL BUILDING,,-73.90196373932577,PHONE,BRONX,Unspecified,2020-03-24T11:52:20.000,"The Department of Housing Preservation and Development contacted a tenant in the building and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",,Closed,SEDGWICK AVENUE,,45885576,,1011363,257376
844,ADDRESS,HPD,Department of Housing Preservation and Development,3017720051,BROOKLYN,,,BROOKLYN,,03 BROOKLYN,WATER LEAK,2020-03-24T09:46:30.000,,,SLOW LEAK,,,326 THROOP AVENUE,11206,,,,40.69324658689844,"{'type': 'Point', 'coordinates': [-73.94299497716253, 40.69324658689844]}",,,,RESIDENTIAL BUILDING,,-73.94299497716253,ONLINE,BROOKLYN,Unspecified,2020-03-24T00:00:00.000,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,,Open,THROOP AVENUE,,45887729,,1000058,191850
845,ADDRESS,HPD,Department of Housing Preservation and Development,3011280072,BROOKLYN,,,BROOKLYN,2020-03-25T21:43:49.000,08 BROOKLYN,HEAT/HOT WATER,2020-03-24T09:46:41.000,,,APARTMENT ONLY,,,527 DEAN STREET,11217,,,,40.68119694961612,"{'type': 'Point', 'coordinates': [-73.97272488279307, 40.68119694961612]}",,,,RESIDENTIAL BUILDING,,-73.97272488279307,PHONE,BROOKLYN,Unspecified,2020-03-25T21:43:49.000,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,,Closed,DEAN STREET,,45887488,,991815,187456
846,ADDRESS,HPD,Department of Housing Preservation and Development,2028760167,BRONX,,,BRONX,,05 BRONX,HEAT/HOT WATER,2020-03-24T09:46:46.000,,,APARTMENT ONLY,,,1690 NELSON AVENUE,10453,,,,40.84808910732427,"{'type': 'Point', 'coordinates': [-73.91715969878656, 40.84808910732427]}",,,,RESIDENTIAL BUILDING,,-73.91715969878656,MOBILE,BRONX,Unspecified,2020-03-24T00:00:00.000,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,,Open,NELSON AVENUE,,45885429,,1007169,248270
847,INTERSECTION,DOT,Department of Transportation,,MANHATTAN,,,NEW YORK,2020-03-24T09:47:00.000,01 MANHATTAN,Street Light Condition,2020-03-24T09:47:00.000,,,Street Light Out,,,,10006,LIBERTY STREET,CHURCH STREET,,40.70968753652052,"{'type': 'Point', 'coordinates': [-74.01167217483717, 40.70968753652052]}",,,,,,-74.01167217483717,UNKNOWN,MANHATTAN,Unspecified,2020-03-23T22:25:00.000,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,,Closed,,,45888090,,981014,197835
