,address_type,agency,agency_name,bbl,borough,bridge_highway_direction,bridge_highway_segment,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,latitude,location,location_address,location_city,location_state,location_type,location_zip,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,road_ramp,status,street_name,taxi_company_borough,taxi_pick_up_location,unique_key,vehicle_type,x_coordinate_state_plane,y_coordinate_state_plane
1003,ADDRESS,HPD,Department of Housing Preservation and Development,1020430004,MANHATTAN,,,NEW YORK,,10 MANHATTAN,HEAT/HOT WATER,2020-03-25T09:58:04.000,,,APARTMENT ONLY,,,134 EDGECOMBE AVENUE,10030,,,,40.82111420730099,"{'type': 'Point', 'coordinates': [-73.94492318386848, 40.82111420730099]}",,,,RESIDENTIAL BUILDING,,-73.94492318386848,PHONE,MANHATTAN,Unspecified,2020-03-25T00:00:00.000,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,,Open,EDGECOMBE AVENUE,,,45891122,,999494,238436
1004,,NYPD,New York City Police Department,,QUEENS,,,,2020-03-25T13:47:36.000,14 QUEENS,Abandoned Vehicle,2020-03-25T09:58:06.000,BEACH   60 STREET,LARKIN AVENUE,With License Plate,,,BEACH   60 STREET,11692,BEACH   60 STREET,LARKIN AVENUE,,40.59081096783259,"{'type': 'Point', 'coordinates': [-73.789518551782, 40.59081096783259]}",,,,,,-73.789518551782,PHONE,QUEENS,Unspecified,2020-03-25T17:47:37.000,The Police Department responded to the complaint and determined that police action was not necessary,,Closed,BEACH   60 STREET,,,45894465,,1042708,154595
1005,ADDRESS,HPD,Department of Housing Preservation and Development,4051830020,QUEENS,,,Flushing,,07 QUEENS,HEAT/HOT WATER,2020-03-25T09:59:06.000,,,ENTIRE BUILDING,,,143-30 SANFORD AVENUE,11355,,,,40.758432312270216,"{'type': 'Point', 'coordinates': [-73.82224796017576, 40.758432312270216]}",,,,RESIDENTIAL BUILDING,,-73.82224796017576,ONLINE,QUEENS,Unspecified,2020-03-25T00:00:00.000,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,,Open,SANFORD AVENUE,,,45893658,,1033494,215644
1006,,NYPD,New York City Police Department,4124840125,QUEENS,,,JAMAICA,2020-03-25T16:09:05.000,12 QUEENS,Blocked Driveway,2020-03-25T09:59:40.000,URSINA ROAD,LESLIE ROAD,Partial Access,,,120-60 178 STREET,11434,URSINA ROAD,LESLIE ROAD,178 STREET,40.6836235360768,"{'type': 'Point', 'coordinates': [-73.76543599652103, 40.6836235360768]}",,,,Street/Sidewalk,,-73.76543599652103,ONLINE,QUEENS,Unspecified,2020-03-25T20:09:09.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,178 STREET,,,45896148,,1049306,188426
1007,INTERSECTION,DSNY,BCC - Queens East,,QUEENS,,,,,14 QUEENS,Derelict Vehicles,2020-03-25T10:00:00.000,,,14 Derelict Vehicles,,DSNY Garage,,,BEACH 60 STREET,BEACH 60 STREET,,,,,,,Street,,,PHONE,QUEENS,Unspecified,2020-03-25T10:00:00.000,The Department of Sanitation is in the process of investigating this complaint.,,Open,,,,45892458,,,
1008,,DCA,Department of Consumer Affairs,3024337502,BROOKLYN,,,BROOKLYN,,01 BROOKLYN,Consumer Complaint,2020-03-25T10:00:04.000,SOUTH    3 STREET,SOUTH    4 STREET,Laundry,,,235 ROEBLING STREET,11211,SOUTH    3 STREET,SOUTH    4 STREET,ROEBLING STREET,40.71132514590792,"{'type': 'Point', 'coordinates': [-73.95958283792737, 40.71132514590792]}",,,,,,-73.95958283792737,PHONE,BROOKLYN,Unspecified,,,,In Progress,ROEBLING STREET,,,45891030,,995455,198434
1009,,DPR,Department of Parks and Recreation,3066410033,BROOKLYN,,,BROOKLYN,,15 BROOKLYN,Damaged Tree,2020-03-25T10:00:04.000,AVENUE P,QUENTIN ROAD,Branch Cracked and Will Fall,,,1664 EAST   10 STREET,11223,AVENUE P,QUENTIN ROAD,EAST   10 STREET,40.60858374912488,"{'type': 'Point', 'coordinates': [-73.9631421091063, 40.60858374912488]}",,,,Street,,-73.9631421091063,UNKNOWN,BROOKLYN,Unspecified,,,,In Progress,EAST   10 STREET,,,45891958,,994484,161002
1010,ADDRESS,DOB,Department of Buildings,1021150001,MANHATTAN,,,NEW YORK,2020-03-25T10:00:44.000,12 MANHATTAN,Elevator,2020-03-25T10:00:44.000,,,Elevator - Single Device On Property/No Alternate Service,,,559 WEST  156 STREET,10032,,,,40.83316063713672,"{'type': 'Point', 'coordinates': [-73.94466025478772, 40.83316063713672]}",,,,,,-73.94466025478772,UNKNOWN,MANHATTAN,Unspecified,2020-03-25T00:00:00.000,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,,Open,WEST  156 STREET,,,45893198,,999564,242825
1011,,DOT,Department of Transportation,3055990067,BROOKLYN,,,BROOKLYN,,12 BROOKLYN,Street Condition,2020-03-25T10:00:48.000,13 AVENUE,14 AVENUE,Failed Street Repair,,,1321 43 STREET,11219,13 AVENUE,14 AVENUE,43 STREET,40.638002208292406,"{'type': 'Point', 'coordinates': [-73.987969244681, 40.638002208292406]}",,,,Street,,-73.987969244681,PHONE,BROOKLYN,Unspecified,,,,In Progress,43 STREET,,,45890952,,987589,171718
1012,,DCA,Department of Consumer Affairs,4096780106,QUEENS,,,JAMAICA,,12 QUEENS,Consumer Complaint,2020-03-25T10:00:53.000,148 STREET,148 STREET,Retail Store,,,148-05 JAMAICA AVENUE,11435,148 STREET,148 STREET,JAMAICA AVENUE,40.70178815941494,"{'type': 'Point', 'coordinates': [-73.80660227291759, 40.70178815941494]}",,,,Commercial Building,,-73.80660227291759,ONLINE,QUEENS,Unspecified,,,,In Progress,JAMAICA AVENUE,,,45895451,,1037874,195016
1013,,DCA,Department of Consumer Affairs,3072130040,BROOKLYN,,,BROOKLYN,,13 BROOKLYN,Consumer Complaint,2020-03-25T10:00:55.000,WEST    3 STREET,WEST    2 STREET,Retail Store,,,599 AVENUE Z,11223,WEST    3 STREET,WEST    2 STREET,AVENUE Z,40.58605688917104,"{'type': 'Point', 'coordinates': [-73.9717736576177, 40.58605688917104]}",,,,Commercial Building,,-73.9717736576177,ONLINE,BROOKLYN,Unspecified,,,,In Progress,AVENUE Z,,,45893965,,992090,152794
1014,ADDRESS,HPD,Department of Housing Preservation and Development,4033940082,QUEENS,,,Ridgewood,,05 QUEENS,PLUMBING,2020-03-25T10:00:57.000,,,WATER SUPPLY,,,24 CHARLOTTE STREET,11385,,,,40.711599898133045,"{'type': 'Point', 'coordinates': [-73.91860262939264, 40.711599898133045]}",,,,RESIDENTIAL BUILDING,,-73.91860262939264,ONLINE,QUEENS,Unspecified,2020-03-25T00:00:00.000,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,,Open,CHARLOTTE STREET,,,45892199,,1006816,198542
1015,ADDRESS,HPD,Department of Housing Preservation and Development,3050830032,BROOKLYN,,,BROOKLYN,,14 BROOKLYN,APPLIANCE,2020-03-25T10:00:57.000,,,ELECTRIC/GAS RANGE,,,50 LENOX ROAD,11226,,,,40.653665079899866,"{'type': 'Point', 'coordinates': [-73.95783021184418, 40.653665079899866]}",,,,RESIDENTIAL BUILDING,,-73.95783021184418,PHONE,BROOKLYN,Unspecified,2020-03-25T00:00:00.000,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,,Open,LENOX ROAD,,,45891538,,995951,177427
1016,ADDRESS,DEP,Department of Environmental Protection,5010790063,STATEN ISLAND,,,STATEN ISLAND,,01 STATEN ISLAND,Sewer,2020-03-25T10:01:00.000,GROVE AVE,HARRISON AVE,Sewer Backup (Use Comments) (SA),,,112 FABER STREET,10302,,,,40.63795017695972,"{'type': 'Point', 'coordinates': [-74.13573237800966, 40.63795017695972]}",,,,,,-74.13573237800966,PHONE,STATEN ISLAND,Unspecified,,,,Open,FABER STREET,,,45894348,,946579,171728
1017,ADDRESS,DEP,Department of Environmental Protection,4033940082,QUEENS,,,Ridgewood,,05 QUEENS,Water System,2020-03-25T10:01:00.000,FLUSHING AVE,DEAD END,No Water (WNW),,,24 CHARLOTTE STREET,11385,,,,40.711599898133045,"{'type': 'Point', 'coordinates': [-73.91860262939264, 40.711599898133045]}",,,,,,-73.91860262939264,PHONE,QUEENS,Unspecified,,,,Open,CHARLOTTE STREET,,,45896046,,1006816,198542
1018,ADDRESS,DSNY,Queens East 12,4100180058,QUEENS,,,Jamaica,,12 QUEENS,Derelict Vehicles,2020-03-25T10:01:00.000,REMINGTON STREET,BRISBIN STREET,14 Derelict Vehicles,,N/A,138-17 102 AVENUE,11435,,,,40.69369145681178,"{'type': 'Point', 'coordinates': [-73.81012730055737, 40.69369145681178]}",,,,Street,,-73.81012730055737,ONLINE,QUEENS,Unspecified,2020-03-25T10:01:00.000,The Department of Sanitation is in the process of investigating this complaint.,,Open,102 AVENUE,,,45893996,,1036903,192064
1019,ADDRESS,DEP,Department of Environmental Protection,3077780071,BROOKLYN,,,BROOKLYN,,18 BROOKLYN,Sewer,2020-03-25T10:01:00.000,AVENUE I,AVENUE J,Street Flooding (SJ),,,1230 EAST   53 STREET,11234,,,,40.62919783484481,"{'type': 'Point', 'coordinates': [-73.92505456254425, 40.62919783484481]}",,,,,,-73.92505456254425,PHONE,BROOKLYN,Unspecified,,,,Open,EAST   53 STREET,,,45895093,,1005053,168519
1020,ADDRESS,HPD,Department of Housing Preservation and Development,2025310005,BRONX,,,BRONX,,04 BRONX,DOOR/WINDOW,2020-03-25T10:01:01.000,,,WINDOW FRAME,,,1314 MERRIAM AVENUE,10452,,,,40.84072290722596,"{'type': 'Point', 'coordinates': [-73.92611733894246, 40.84072290722596]}",,,,RESIDENTIAL BUILDING,,-73.92611733894246,PHONE,BRONX,Unspecified,2020-03-25T00:00:00.000,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,,Open,MERRIAM AVENUE,,,45893587,,1004693,245584
1021,,DPR,Department of Parks and Recreation,4038520129,QUEENS,,,RIDGEWOOD,,05 QUEENS,Root/Sewer/Sidewalk Condition,2020-03-25T10:01:03.000,88 STREET,89 STREET,Trees and Sidewalks Program,,,88-19 DORAN AVENUE,11385,88 STREET,89 STREET,DORAN AVENUE,40.70976088119033,"{'type': 'Point', 'coordinates': [-73.863479354436, 40.70976088119033]}",,,,Street,,-73.863479354436,PHONE,QUEENS,Unspecified,,,,In Progress,DORAN AVENUE,,,45891995,,1022099,197891
1022,ADDRESS,HPD,Department of Housing Preservation and Development,2039447501,BRONX,,,BRONX,,09 BRONX,PLUMBING,2020-03-25T10:01:33.000,,,WATER SUPPLY,,,5 METROPOLITAN OVAL,10462,,,,40.838830897919955,"{'type': 'Point', 'coordinates': [-73.86001250475022, 40.838830897919955]}",,,,RESIDENTIAL BUILDING,,-73.86001250475022,PHONE,BRONX,Unspecified,2020-03-25T00:00:00.000,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,,Open,METROPOLITAN OVAL,,,45894235,,1022985,244917
1023,ADDRESS,HPD,Department of Housing Preservation and Development,5029220001,STATEN ISLAND,,,STATEN ISLAND,,01 STATEN ISLAND,PLUMBING,2020-03-25T10:01:34.000,,,BATHTUB/SHOWER,,,240 PARK HILL AVENUE,10304,,,,40.61288824997931,"{'type': 'Point', 'coordinates': [-74.08297703202305, 40.61288824997931]}",,,,RESIDENTIAL BUILDING,,-74.08297703202305,PHONE,STATEN ISLAND,Unspecified,2020-03-25T00:00:00.000,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,,Open,PARK HILL AVENUE,,,45891750,,961212,162579
1024,,NYPD,New York City Police Department,3035840031,BROOKLYN,,,BROOKLYN,2020-03-25T15:21:55.000,16 BROOKLYN,Noise - Residential,2020-03-25T10:01:35.000,LIVONIA AVENUE,RIVERDALE AVENUE,Banging/Pounding,,,2135 STRAUSS STREET,11212,LIVONIA AVENUE,RIVERDALE AVENUE,STRAUSS STREET,40.66149107579559,"{'type': 'Point', 'coordinates': [-73.91445747217116, 40.66149107579559]}",,,,Residential Building/House,,-73.91445747217116,ONLINE,BROOKLYN,Unspecified,2020-03-25T19:21:56.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,STRAUSS STREET,,,45895919,,1007983,180287
1025,,NYPD,New York City Police Department,2028800017,BRONX,,,BRONX,2020-03-25T10:46:24.000,05 BRONX,Illegal Parking,2020-03-25T10:01:37.000,CROSS BRONX EXPWY ET    1 D SB,WEST  176 STREET,Blocked Sidewalk,,,1520 SEDGWICK AVENUE,10453,CROSS BRONX EXPWY ET    1 D SB,WEST  176 STREET,SEDGWICK AVENUE,40.846785199904375,"{'type': 'Point', 'coordinates': [-73.92492869307259, 40.846785199904375]}",,,,,,-73.92492869307259,PHONE,BRONX,Unspecified,2020-03-25T14:46:26.000,The Police Department reviewed your complaint and provided additional information below.,,Closed,SEDGWICK AVENUE,,,45894316,,1005020,247793
1026,,DOHMH,Department of Health and Mental Hygiene,4049340032,QUEENS,,,FLUSHING,,07 QUEENS,Rodent,2020-03-25T10:02:23.000,FRANCIS LEWIS BOULEVARD,32 AVENUE,Condition Attracting Rodents,,,29-56 172 STREET,11358,FRANCIS LEWIS BOULEVARD,32 AVENUE,172 STREET,40.769393266050905,"{'type': 'Point', 'coordinates': [-73.79333695657222, 40.769393266050905]}",,,,1-2 Family Dwelling,,-73.79333695657222,PHONE,QUEENS,Unspecified,,,,In Progress,172 STREET,,,45895465,,1041494,219655
1027,,NYPD,New York City Police Department,2031990053,BRONX,,,BRONX,2020-03-25T12:26:09.000,07 BRONX,Noise - Residential,2020-03-25T10:02:30.000,WEST  184 STREET,WEST FORDHAM ROAD,Banging/Pounding,,,2386 DAVIDSON AVENUE,10468,WEST  184 STREET,WEST FORDHAM ROAD,DAVIDSON AVENUE,40.861403787976336,"{'type': 'Point', 'coordinates': [-73.90321733819738, 40.861403787976336]}",,,,Residential Building/House,,-73.90321733819738,PHONE,BRONX,Unspecified,2020-03-25T16:26:12.000,The Police Department responded to the complaint and determined that police action was not necessary,,Closed,DAVIDSON AVENUE,,,45895732,,1011021,253125
1028,ADDRESS,DHS,Department of Homeless Services,1006950028,MANHATTAN,,,NEW YORK,2020-03-25T10:07:48.000,Unspecified MANHATTAN,Homeless Person Assistance,2020-03-25T10:03:17.000,10 AVENUE,HIGH LINE,N/A,,,511 WEST 23 STREET,10011,10 AVENUE,HIGH LINE,WEST   23 STREET,40.747873079887555,"{'type': 'Point', 'coordinates': [-74.00457987635501, 40.747873079887555]}",,,,N/A,,-74.00457987635501,MOBILE,MANHATTAN,Unspecified,2020-03-25T10:07:48.000,The Department of Homeless Services did not have enough information to act on your request.,,Closed,WEST 23 STREET,,,45894475,,982981,211747
1029,ADDRESS,HPD,Department of Housing Preservation and Development,2043520001,BRONX,,,BRONX,,11 BRONX,ELECTRIC,2020-03-25T10:04:47.000,,,POWER OUTAGE,,,789 ASTOR AVENUE,10467,,,,40.8596269914278,"{'type': 'Point', 'coordinates': [-73.86413695641335, 40.8596269914278]}",,,,RESIDENTIAL BUILDING,,-73.86413695641335,PHONE,BRONX,Unspecified,2020-03-25T00:00:00.000,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,,Open,ASTOR AVENUE,,,45896206,,1021832,252492
1030,ADDRESS,HPD,Department of Housing Preservation and Development,3030310013,BROOKLYN,,,BROOKLYN,2020-03-25T21:43:51.000,01 BROOKLYN,HEAT/HOT WATER,2020-03-25T10:04:56.000,,,ENTIRE BUILDING,,,18 STAGG STREET,11206,,,,40.708881227204195,"{'type': 'Point', 'coordinates': [-73.9498600283857, 40.708881227204195]}",,,,RESIDENTIAL BUILDING,,-73.9498600283857,PHONE,BROOKLYN,Unspecified,2020-03-25T21:43:51.000,The Department of Housing Preservation and Development conducted or attempted to conduct an inspection.  More information about inspection results can be found through HPD's website at www.nyc.gov/hpd by using HPDONLINE (enter your address on the home page) and entering your SR number under the complaint status option.,,Closed,STAGG STREET,,,45895224,,998151,197545
1031,,DCA,Department of Consumer Affairs,3041300053,BROOKLYN,,,BROOKLYN,,05 BROOKLYN,Consumer Complaint,2020-03-25T10:04:57.000,ADLER PLACE,CAMPUS PLACE,Bodega/Deli/Supermarket,,,208 CRESCENT STREET,11208,ADLER PLACE,CAMPUS PLACE,CRESCENT STREET,40.68435455584139,"{'type': 'Point', 'coordinates': [-73.87241198606485, 40.68435455584139]}",,,,,,-73.87241198606485,PHONE,BROOKLYN,Unspecified,,,,In Progress,CRESCENT STREET,,,45892979,,1019636,188631
1032,ADDRESS,HPD,Department of Housing Preservation and Development,3041220031,BROOKLYN,,,BROOKLYN,2020-03-25T21:32:29.000,05 BROOKLYN,HEAT/HOT WATER,2020-03-25T10:05:03.000,,,ENTIRE BUILDING,,,126 GRANT AVENUE,11208,,,,40.68795657482866,"{'type': 'Point', 'coordinates': [-73.86831611141713, 40.68795657482866]}",,,,RESIDENTIAL BUILDING,,-73.86831611141713,PHONE,BROOKLYN,Unspecified,2020-03-25T21:32:29.000,The Department of Housing Preservation and Development conducted or attempted to conduct an inspection.  More information about inspection results can be found through HPD's website at www.nyc.gov/hpd by using HPDONLINE (enter your address on the home page) and entering your SR number under the complaint status option.,,Closed,GRANT AVENUE,,,45891187,,1020770,189945
1033,ADDRESS,HPD,Department of Housing Preservation and Development,1021010281,MANHATTAN,,,NEW YORK,,09 MANHATTAN,PLUMBING,2020-03-25T10:05:06.000,,,BATHTUB/SHOWER,,,699 WEST  152 STREET,10031,,,,40.83158166631988,"{'type': 'Point', 'coordinates': [-73.94896173405807, 40.83158166631988]}",,,,RESIDENTIAL BUILDING,,-73.94896173405807,PHONE,MANHATTAN,Unspecified,2020-03-25T00:00:00.000,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,,Open,WEST  152 STREET,,,45894231,,998374,242249
1034,ADDRESS,HPD,Department of Housing Preservation and Development,1021010281,MANHATTAN,,,NEW YORK,,09 MANHATTAN,PLUMBING,2020-03-25T10:05:06.000,,,BATHTUB/SHOWER,,,699 WEST  152 STREET,10031,,,,40.83158166631988,"{'type': 'Point', 'coordinates': [-73.94896173405807, 40.83158166631988]}",,,,RESIDENTIAL BUILDING,,-73.94896173405807,PHONE,MANHATTAN,Unspecified,2020-03-25T00:00:00.000,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,,Open,WEST  152 STREET,,,45891243,,998374,242249
1035,,DCA,Department of Consumer Affairs,1018210031,MANHATTAN,,,NEW YORK,,10 MANHATTAN,Consumer Complaint,2020-03-25T10:05:40.000,WEST  111 STREET,WEST  112 STREET,Retail Store,,,37 LENOX AVENUE,10026,WEST  111 STREET,WEST  112 STREET,LENOX AVENUE,40.799296685822696,"{'type': 'Point', 'coordinates': [-73.95167007881292, 40.799296685822696]}",,,,,,-73.95167007881292,PHONE,MANHATTAN,Unspecified,,,,In Progress,LENOX AVENUE,,,45894525,,997631,230486
1036,,DOHMH,Department of Health and Mental Hygiene,,MANHATTAN,,,,,07 MANHATTAN,Food Establishment,2020-03-25T10:05:42.000,COLUMBUS AVENUE,WEST   96 STREET,Bare Hands in Contact w/ Food,,,COLUMBUS AVENUE,10025,COLUMBUS AVENUE,WEST   96 STREET,,40.79285762085752,"{'type': 'Point', 'coordinates': [-73.96752916217581, 40.79285762085752]}",,,,Restaurant/Bar/Deli/Bakery,,-73.96752916217581,PHONE,MANHATTAN,Unspecified,2020-03-25T21:57:08.000,The Department of Health and Mental Hygiene has received and processed your complaint. All restauran,,In Progress,COLUMBUS AVENUE,,,45893325,,993241,228138
1037,ADDRESS,DOT,Department of Transportation,3050310022,BROOKLYN,,,BROOKLYN,,09 BROOKLYN,Street Light Condition,2020-03-25T10:06:00.000,BEDFORD AVE,FLATBUSH AVE,Street Light Out,,,36 MAPLE STREET,11225,,,,40.66027779709655,"{'type': 'Point', 'coordinates': [-73.95932902670835, 40.66027779709655]}",,,,,,-73.95932902670835,UNKNOWN,BROOKLYN,Unspecified,,,,Open,MAPLE STREET,,,45895543,,995534,179836
1038,,NYPD,New York City Police Department,4053490021,QUEENS,,,FLUSHING,2020-03-25T11:33:46.000,07 QUEENS,Blocked Driveway,2020-03-25T10:06:06.000,41 AVENUE,NORTHERN BOULEVARD,No Access,,,41-17 170 STREET,11358,41 AVENUE,NORTHERN BOULEVARD,170 STREET,40.759542572776546,"{'type': 'Point', 'coordinates': [-73.79654043415148, 40.759542572776546]}",,,,Street/Sidewalk,,-73.79654043415148,MOBILE,QUEENS,Unspecified,2020-03-25T15:33:48.000,The Police Department issued a summons in response to the complaint.,,Closed,170 STREET,,,45893383,,1040615,216064
1039,,DCA,Department of Consumer Affairs,2025140040,BRONX,,,BRONX,,04 BRONX,Consumer Complaint,2020-03-25T10:06:13.000,WEST  166 STREET,WEST  167 STREET,Bodega/Deli/Supermarket,,,1136 OGDEN AVENUE,10452,WEST  166 STREET,WEST  167 STREET,OGDEN AVENUE,40.836351419307235,"{'type': 'Point', 'coordinates': [-73.92743401911407, 40.836351419307235]}",,,,Commercial Building,,-73.92743401911407,ONLINE,BRONX,Unspecified,,,,In Progress,OGDEN AVENUE,,,45896160,,1004330,243991
1040,,DCA,Department of Consumer Affairs,3041350061,BROOKLYN,,,BROOKLYN,,05 BROOKLYN,Consumer Complaint,2020-03-25T10:07:05.000,NICHOLS AVENUE,GRANT AVENUE,Bodega/Deli/Supermarket,,,3461 FULTON STREET,11208,NICHOLS AVENUE,GRANT AVENUE,FULTON STREET,40.68485734762293,"{'type': 'Point', 'coordinates': [-73.86798690744608, 40.68485734762293]}",,,,,,-73.86798690744608,PHONE,BROOKLYN,Unspecified,,,,In Progress,FULTON STREET,,,45894509,,1020863,188816
1041,,NYPD,New York City Police Department,,BROOKLYN,,,BROOKLYN,2020-03-25T11:46:18.000,11 BROOKLYN,Noise - Residential,2020-03-25T10:07:19.000,16 AVENUE,NEW UTRECHT AVENUE,Banging/Pounding,,,1629 76 STREET,11214,16 AVENUE,NEW UTRECHT AVENUE,76 STREET,40.615262251223925,"{'type': 'Point', 'coordinates': [-74.00069155978625, 40.615262251223925]}",,,,Residential Building/House,,-74.00069155978625,MOBILE,BROOKLYN,Unspecified,2020-03-25T15:46:19.000,The Police Department responded to the complaint and determined that police action was not necessary,,Closed,76 STREET,,,45893758,,984058,163433
1042,ADDRESS,HPD,Department of Housing Preservation and Development,2029540029,BRONX,,,BRONX,,06 BRONX,DOOR/WINDOW,2020-03-25T10:07:28.000,,,WINDOW FRAME,,,806 FAIRMOUNT PLACE,10460,,,,40.84255933757606,"{'type': 'Point', 'coordinates': [-73.88876633698771, 40.84255933757606]}",,,,RESIDENTIAL BUILDING,,-73.88876633698771,ONLINE,BRONX,Unspecified,2020-03-25T00:00:00.000,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,,Open,FAIRMOUNT PLACE,,,45891076,,1015027,246264
1043,,NYPD,New York City Police Department,4106600052,QUEENS,,,QUEENS VILLAGE,2020-03-25T10:43:56.000,13 QUEENS,Illegal Parking,2020-03-25T10:08:12.000,89 AVENUE,90 AVENUE,Blocked Hydrant,,,89-46 217 STREET,11427,89 AVENUE,90 AVENUE,217 STREET,40.726158545352206,"{'type': 'Point', 'coordinates': [-73.74568466065801, 40.726158545352206]}",,,,Street/Sidewalk,,-73.74568466065801,ONLINE,QUEENS,Unspecified,2020-03-25T14:43:57.000,The Police Department reviewed your complaint and provided additional information below.,,Closed,217 STREET,,,45896033,,1054739,203938
1044,ADDRESS,HPD,Department of Housing Preservation and Development,4051830020,QUEENS,,,Flushing,,07 QUEENS,HEAT/HOT WATER,2020-03-25T10:08:34.000,,,ENTIRE BUILDING,,,143-30 SANFORD AVENUE,11355,,,,40.758432312270216,"{'type': 'Point', 'coordinates': [-73.82224796017576, 40.758432312270216]}",,,,RESIDENTIAL BUILDING,,-73.82224796017576,ONLINE,QUEENS,Unspecified,2020-03-25T00:00:00.000,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,,Open,SANFORD AVENUE,,,45892110,,1033494,215644
1045,,NYPD,New York City Police Department,1002450001,MANHATTAN,,,NEW YORK,2020-03-25T17:15:42.000,03 MANHATTAN,Noise - Residential,2020-03-25T10:08:38.000,CLINTON STREET,FRANKLIN D ROOSEVELT DRIVE,Loud Music/Party,,,286 SOUTH STREET,10002,CLINTON STREET,FRANKLIN D ROOSEVELT DRIVE,SOUTH STREET,40.7104778366638,"{'type': 'Point', 'coordinates': [-73.98657106854841, 40.7104778366638]}",,,,Residential Building/House,,-73.98657106854841,ONLINE,MANHATTAN,Unspecified,2020-03-25T21:15:44.000,The Police Department responded and upon arrival those responsible for the condition were gone.,,Closed,SOUTH STREET,,,45894268,,987973,198123
1046,ADDRESS,DOB,Department of Buildings,2028660080,BRONX,,,BRONX,2020-03-25T10:09:47.000,05 BRONX,Elevator,2020-03-25T10:09:47.000,,,Elevator - Single Device On Property/No Alternate Service,,,1695 GRAND AVENUE,10453,,,,40.84841624607351,"{'type': 'Point', 'coordinates': [-73.91411588203465, 40.84841624607351]}",,,,,,-73.91411588203465,UNKNOWN,BRONX,Unspecified,2020-03-25T00:00:00.000,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,,Open,GRAND AVENUE,,,45893719,,1008011,248390
1047,ADDRESS,DEP,Department of Environmental Protection,1009270001,MANHATTAN,,,NEW YORK,,06 MANHATTAN,Noise,2020-03-25T10:10:00.000,2 AVE,1 AVE,Noise: Jack Hammering (NC2),,N/A,301 EAST   21 STREET,10010,,,,40.736437041718666,"{'type': 'Point', 'coordinates': [-73.98142744055693, 40.736437041718666]}",,,,,,-73.98142744055693,PHONE,MANHATTAN,Unspecified,,,,Open,EAST   21 STREET,,,45893883,,989397,207581
1048,ADDRESS,HPD,Department of Housing Preservation and Development,2028410070,BRONX,,,BRONX,,04 BRONX,HEAT/HOT WATER,2020-03-25T10:10:29.000,,,ENTIRE BUILDING,,,1355 GRAND CONCOURSE,10452,,,,40.83768756283412,"{'type': 'Point', 'coordinates': [-73.9146320666157, 40.83768756283412]}",,,,RESIDENTIAL BUILDING,,-73.9146320666157,PHONE,BRONX,Unspecified,2020-03-25T00:00:00.000,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,,Open,GRAND CONCOURSE,,,45891703,,1007872,244481
1049,ADDRESS,HPD,Department of Housing Preservation and Development,5001280001,STATEN ISLAND,,,STATEN ISLAND,,01 STATEN ISLAND,HEAT/HOT WATER,2020-03-25T10:10:31.000,,,APARTMENT ONLY,,,131 SILVER LAKE ROAD,10301,,,,40.63264072628029,"{'type': 'Point', 'coordinates': [-74.09587084225352, 40.63264072628029]}",,,,RESIDENTIAL BUILDING,,-74.09587084225352,MOBILE,STATEN ISLAND,Unspecified,2020-03-25T00:00:00.000,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,,Open,SILVER LAKE ROAD,,,45894539,,957640,169779
