,address_type,agency,agency_name,bbl,borough,bridge_highway_direction,bridge_highway_segment,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,latitude,location,location_address,location_city,location_state,location_type,location_zip,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,road_ramp,status,street_name,taxi_company_borough,taxi_pick_up_location,unique_key,x_coordinate_state_plane,y_coordinate_state_plane
1413,,NYPD,New York City Police Department,3051890036,BROOKLYN,,,BROOKLYN,2020-03-18T12:23:27.000,14 BROOKLYN,Blocked Driveway,2020-03-18T09:57:54.000,CLARENDON ROAD,AVENUE D,No Access,,,2564 BEDFORD AVENUE,11226,CLARENDON ROAD,AVENUE D,BEDFORD AVENUE,40.64115302699433,"{'type': 'Point', 'coordinates': [-73.95435375522061, 40.64115302699433]}",,,,,,-73.95435375522061,PHONE,BROOKLYN,Unspecified,2020-03-18T16:23:31.000,The Police Department issued a summons in response to the complaint.,,Closed,BEDFORD AVENUE,,,45852950,996918,172869
1414,,NYPD,New York City Police Department,4042930002,QUEENS,,,FLUSHING,2020-03-18T10:00:13.000,07 QUEENS,Noise - Residential,2020-03-18T09:57:58.000,COLLEGE POINT BOULEVARD,123 STREET,Banging/Pounding,,,122-06 26 AVENUE,11354,COLLEGE POINT BOULEVARD,123 STREET,26 AVENUE,40.77444143943476,"{'type': 'Point', 'coordinates': [-73.84638106878765, 40.77444143943476]}",,,,Residential Building/House,,-73.84638106878765,PHONE,QUEENS,Unspecified,2020-03-18T14:00:24.000,The Police Department reviewed your complaint and provided additional information below.,,Closed,26 AVENUE,,,45851556,1026798,221464
1415,ADDRESS,DSNY,BCC - Staten Island,5063560077,STATEN ISLAND,,,STATEN ISLAND,2020-03-20T12:00:00.000,03 STATEN ISLAND,Missed Collection (All Materials),2020-03-18T09:58:00.000,HAROLD AVENUE,BENNETT PLACE,1 Missed Collection,,DSNY Garage,4719 HYLAN BOULEVARD,10312,,,,40.528440061186735,"{'type': 'Point', 'coordinates': [-74.16359693681825, 40.528440061186735]}",,,,Sidewalk,,-74.16359693681825,PHONE,STATEN ISLAND,Unspecified,2020-03-20T12:00:00.000,The Department of Sanitation investigated this complaint and found no condition at the location.,,Closed,HYLAN BOULEVARD,,,45856820,938771,131844
1416,ADDRESS,DEP,Department of Environmental Protection,1021740125,MANHATTAN,,,NEW YORK,2020-03-19T10:45:00.000,12 MANHATTAN,Noise,2020-03-18T09:58:00.000,NAGLE AVE,SHERMAN AVE,Noise: Construction Equipment (NC1),,N/A,42 SICKLES STREET,10040,,,,40.86144927324545,"{'type': 'Point', 'coordinates': [-73.92785853488644, 40.86144927324545]}",,,,,,-73.92785853488644,ONLINE,MANHATTAN,Unspecified,2020-03-19T10:45:00.000,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",,Closed,SICKLES STREET,,,45856094,1004205,253135
1417,ADDRESS,DEP,Department of Environmental Protection,4120250096,QUEENS,,,Jamaica,2020-03-18T11:30:00.000,12 QUEENS,Sewer,2020-03-18T09:58:00.000,119 AVE,120 AVE,Sewer Backup (Use Comments) (SA),,,119-33 145 STREET,11436,,,,40.67766424397445,"{'type': 'Point', 'coordinates': [-73.79544907708215, 40.67766424397445]}",,,,,,-73.79544907708215,PHONE,QUEENS,Unspecified,2020-03-18T11:30:00.000,"The Department of Environmental Protection has investigated this complaint. Upon investigation, there was no indication of a city sewer issue and there is a suspected sewer backup due to an internal plumbing issue.",,Closed,145 STREET,,,45850682,1040987,186234
1418,INTERSECTION,DEP,Department of Environmental Protection,,BROOKLYN,,,BROOKLYN,2020-03-18T11:01:00.000,01 BROOKLYN,Noise,2020-03-18T09:58:00.000,,,Noise: Jack Hammering (NC2),,N/A,,11222,DRIGGS AVENUE,SUTTON STREET,,40.72345410357016,"{'type': 'Point', 'coordinates': [-73.94032107077389, 40.72345410357016]}",,,,,,-73.94032107077389,PHONE,BROOKLYN,Unspecified,2020-03-18T11:01:00.000,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,,Closed,,,,45853290,1000792,202856
1419,,DCA,Department of Consumer Affairs,1013970115,MANHATTAN,,,NEW YORK,2020-03-20T14:37:59.000,08 MANHATTAN,Consumer Complaint,2020-03-18T09:58:10.000,EAST   62 STREET,EAST   63 STREET,Retail Store,,,806 LEXINGTON AVENUE,10065,EAST   62 STREET,EAST   63 STREET,LEXINGTON AVENUE,40.76425174873017,"{'type': 'Point', 'coordinates': [-73.96672004404334, 40.76425174873017]}",,,,,,-73.96672004404334,PHONE,MANHATTAN,Unspecified,2020-03-20T18:38:03.000,The Department of Consumer Affairs has received your report. This request is under investigation. Th,,Closed,LEXINGTON AVENUE,,,45852101,993469,217716
1420,BLOCKFACE,DOT,Department of Transportation,,BROOKLYN,,,BROOKLYN,2020-03-19T13:05:00.000,07 BROOKLYN,Street Condition,2020-03-18T09:58:42.000,44 STREET,47 STREET,Pothole,,,1 AVENUE,11232,,,,40.65327368134908,"{'type': 'Point', 'coordinates': [-74.01616360858571, 40.65327368134908]}",,,,,,-74.01616360858571,UNKNOWN,BROOKLYN,Unspecified,2020-03-19T13:05:00.000,The Department of Transportation inspected this complaint and repaired the problem.,,Closed,1 AVENUE,,,45865633,979765,177282
1421,,DCA,Department of Consumer Affairs,4098220029,QUEENS,,,JAMAICA,2020-03-20T14:38:03.000,12 QUEENS,Consumer Complaint,2020-03-18T09:58:44.000,168 PLACE,169 STREET,Retail Store,,,168-30 HILLSIDE AVENUE,11432,168 PLACE,169 STREET,HILLSIDE AVENUE,40.71039817466841,"{'type': 'Point', 'coordinates': [-73.79376153576763, 40.71039817466841]}",,,,,,-73.79376153576763,PHONE,QUEENS,Unspecified,2020-03-20T18:38:06.000,The Department of Consumer Affairs has received your report. This request is under investigation. Th,,Closed,HILLSIDE AVENUE,,,45850790,1041427,198161
1422,,NYPD,New York City Police Department,3051200037,BROOKLYN,,,BROOKLYN,2020-03-18T11:59:07.000,14 BROOKLYN,Noise - Residential,2020-03-18T09:58:58.000,EAST   16 STREET,EAST   17 STREET,Banging/Pounding,,,1601 BEVERLY ROAD,11226,EAST   16 STREET,EAST   17 STREET,BEVERLEY ROAD,40.64443096273692,"{'type': 'Point', 'coordinates': [-73.96394389362462, 40.64443096273692]}",,,,Residential Building/House,,-73.96394389362462,PHONE,BROOKLYN,Unspecified,2020-03-18T15:59:09.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,BEVERLY ROAD,,,45850258,994256,174062
1423,ADDRESS,DSNY,BCC - Brooklyn South,3083427501,BROOKLYN,,,BROOKLYN,2020-03-19T12:00:00.000,18 BROOKLYN,Missed Collection (All Materials),2020-03-18T09:59:00.000,BEND,AVENUE K,1 Missed Collection,,DSNY Garage,1068 EAST   73 STREET,11234,,,,40.628280977445726,"{'type': 'Point', 'coordinates': [-73.91692457367684, 40.628280977445726]}",,,,Sidewalk,,-73.91692457367684,ONLINE,BROOKLYN,Unspecified,2020-03-19T12:00:00.000,The Department of Sanitation picked up the items and determined that the missed collection complaint was not warranted.,,Closed,EAST   73 STREET,,,45851506,1007310,168187
1424,INTERSECTION,DOT,Department of Transportation,,BRONX,,,BRONX,2020-03-17T09:38:00.000,10 BRONX,Street Light Condition,2020-03-18T09:59:00.000,,,Street Light Out,,,,10461,WESTCHESTER AVENUE,ST THERESA AVENUE,,40.849210303797655,"{'type': 'Point', 'coordinates': [-73.83055017128073, 40.849210303797655]}",,,,,,-73.83055017128073,UNKNOWN,BRONX,Unspecified,2020-03-17T09:38:00.000,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,,Pending,,,,45853905,1031130,248713
1425,BLOCKFACE,DOT,Department of Transportation,,BRONX,,,,2020-03-18T09:59:00.000,Unspecified BRONX,Street Light Condition,2020-03-18T09:59:00.000,TREMONT AVE E,,Street Light Out,,,HUTCH RVR PKWY,,,,,,,,,,,,,UNKNOWN,BRONX,Unspecified,2020-03-17T11:50:00.000,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,,Closed,HUTCH RVR PKWY,,,45853895,,
1426,,NYPD,New York City Police Department,3009920001,BROOKLYN,,,BROOKLYN,2020-03-18T17:28:50.000,06 BROOKLYN,Animal-Abuse,2020-03-18T09:59:29.000,3 AVENUE,4 AVENUE,Neglected,,,213 7 STREET,11215,3 AVENUE,4 AVENUE,7 STREET,40.67245760225912,"{'type': 'Point', 'coordinates': [-73.98955642303982, 40.67245760225912]}",,,,Store/Commercial,,-73.98955642303982,PHONE,BROOKLYN,Unspecified,2020-03-18T21:28:51.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,7 STREET,,,45851577,987147,184271
1427,,NYPD,New York City Police Department,2027220017,BRONX,,,BRONX,2020-03-18T14:42:08.000,02 BRONX,Blocked Driveway,2020-03-18T09:59:57.000,INTERVALE AVENUE,TIFFANY STREET,No Access,,,861 SOUTHERN BOULEVARD,10459,INTERVALE AVENUE,TIFFANY STREET,SOUTHERN BOULEVARD,40.81801048544511,"{'type': 'Point', 'coordinates': [-73.89448315707543, 40.81801048544511]}",,,,Street/Sidewalk,,-73.89448315707543,MOBILE,BRONX,Unspecified,2020-03-18T18:42:10.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,SOUTHERN BOULEVARD,,,45854721,1013456,237318
1428,ADDRESS,HPD,Department of Housing Preservation and Development,3044530062,BROOKLYN,,,BROOKLYN,,05 BROOKLYN,DOOR/WINDOW,2020-03-18T10:00:02.000,,,DOOR,,,711 SHEPHERD AVENUE,11208,,,,40.6668301891388,"{'type': 'Point', 'coordinates': [-73.87844006050624, 40.6668301891388]}",,,,RESIDENTIAL BUILDING,,-73.87844006050624,PHONE,BROOKLYN,Unspecified,2020-03-18T00:00:00.000,"The Department of Housing Preservation and Development was not able to gain access to inspect the conditions. If the conditions still exist and an inspection is required, please contact the borough office with your complaint number at 718 827 - 1955 (BROOKLYN).",,Open,SHEPHERD AVENUE,,,45855766,1017973,182244
1429,ADDRESS,HPD,Department of Housing Preservation and Development,3044530062,BROOKLYN,,,BROOKLYN,,05 BROOKLYN,DOOR/WINDOW,2020-03-18T10:00:02.000,,,DOOR,,,711 SHEPHERD AVENUE,11208,,,,40.6668301891388,"{'type': 'Point', 'coordinates': [-73.87844006050624, 40.6668301891388]}",,,,RESIDENTIAL BUILDING,,-73.87844006050624,PHONE,BROOKLYN,Unspecified,2020-03-18T00:00:00.000,"The Department of Housing Preservation and Development was not able to gain access to inspect the conditions. If the conditions still exist and an inspection is required, please contact the borough office with your complaint number at 718 827 - 1955 (BROOKLYN).",,Open,SHEPHERD AVENUE,,,45853721,1017973,182244
1430,ADDRESS,HPD,Department of Housing Preservation and Development,3044530062,BROOKLYN,,,BROOKLYN,,05 BROOKLYN,DOOR/WINDOW,2020-03-18T10:00:02.000,,,DOOR FRAME,,,711 SHEPHERD AVENUE,11208,,,,40.6668301891388,"{'type': 'Point', 'coordinates': [-73.87844006050624, 40.6668301891388]}",,,,RESIDENTIAL BUILDING,,-73.87844006050624,PHONE,BROOKLYN,Unspecified,2020-03-18T00:00:00.000,"The Department of Housing Preservation and Development was not able to gain access to inspect the conditions. If the conditions still exist and an inspection is required, please contact the borough office with your complaint number at 718 827 - 1955 (BROOKLYN).",,Open,SHEPHERD AVENUE,,,45851622,1017973,182244
1431,,NYPD,New York City Police Department,5045000298,STATEN ISLAND,,,STATEN ISLAND,2020-03-18T15:42:41.000,03 STATEN ISLAND,Illegal Parking,2020-03-18T10:00:31.000,SANDALWOOD DRIVE,DEAD END,Posted Parking Sign Violation,,,84 WILLOW WOOD LANE,10308,SANDALWOOD DRIVE,DEAD END,WILLOWWOOD LANE,40.55960185847196,"{'type': 'Point', 'coordinates': [-74.14311284998362, 40.55960185847196]}",,,,Street/Sidewalk,,-74.14311284998362,PHONE,STATEN ISLAND,Unspecified,2020-03-18T19:42:45.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,WILLOW WOOD LANE,,,45856843,944484,143187
1432,ADDRESS,DOB,Department of Buildings,4033550106,QUEENS,,,Kew Gardens,2020-03-18T10:00:32.000,09 QUEENS,General Construction/Plumbing,2020-03-18T10:00:32.000,,,Building Permit - None,,,83-00 TALBOT STREET,11415,,,,40.70972288424467,"{'type': 'Point', 'coordinates': [-73.82888124516823, 40.70972288424467]}",,,,,,-73.82888124516823,UNKNOWN,QUEENS,Unspecified,2020-03-18T00:00:00.000,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,,Open,TALBOT STREET,,,45851361,1031691,197894
1433,ADDRESS,DEP,Department of Environmental Protection,3029190003,BROOKLYN,,,BROOKLYN,2020-03-19T06:45:00.000,01 BROOKLYN,Noise,2020-03-18T10:01:00.000,AINSLIE ST,POWERS ST,Noise: Construction Equipment (NC1),,N/A,67 BUSHWICK AVENUE,11211,,,,40.71288170728565,"{'type': 'Point', 'coordinates': [-73.94113853827668, 40.71288170728565]}",,,,,,-73.94113853827668,ONLINE,BROOKLYN,Unspecified,2020-03-19T06:45:00.000,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",,Closed,BUSHWICK AVENUE,,,45856093,1000568,199004
1434,ADDRESS,DEP,Department of Environmental Protection,4085170002,QUEENS,,,Glen Oaks,,13 QUEENS,Asbestos,2020-03-18T10:01:00.000,BEND,BEND,Asbestos Complaint (B1),,N/A,74-03 260 STREET,11004,,,,40.749685769412274,"{'type': 'Point', 'coordinates': [-73.7148303734535, 40.749685769412274]}",,,,,,-73.7148303734535,PHONE,QUEENS,Unspecified,,,,Open,260 STREET,,,45852594,1063263,212536
1435,INTERSECTION,DOT,Department of Transportation,,MANHATTAN,,,NEW YORK,2020-03-18T21:56:00.000,02 MANHATTAN,Street Condition,2020-03-18T10:01:07.000,,,Pothole,,,,10014,VARICK STREET,WEST HOUSTON STREET,,40.728604887563456,"{'type': 'Point', 'coordinates': [-74.00531458413064, 40.728604887563456]}",,,,,,-74.00531458413064,UNKNOWN,MANHATTAN,Unspecified,2020-03-18T21:56:00.000,The Department of Transportation inspected this complaint and repaired the problem.,,Closed,,,,45855935,982777,204727
1436,,DOT,Department of Transportation,4156950022,QUEENS,,,FAR ROCKAWAY,,14 QUEENS,Sidewalk Condition,2020-03-18T10:01:59.000,GRANADA PLACE,WATERLOO PLACE,Broken Sidewalk,,,29-29 MOTT AVENUE,11691,GRANADA PLACE,WATERLOO PLACE,MOTT AVENUE,40.60949655566641,"{'type': 'Point', 'coordinates': [-73.76625109326977, 40.60949655566641]}",,,,Sidewalk,,-73.76625109326977,PHONE,QUEENS,Unspecified,,,,In Progress,MOTT AVENUE,,,45855822,1049152,161419
1437,,NYPD,New York City Police Department,4091580017,QUEENS,,,OZONE PARK,2020-03-18T12:38:17.000,10 QUEENS,Blocked Driveway,2020-03-18T10:02:15.000,LIBERTY AVENUE,107 AVENUE,Partial Access,,,105-22 92 STREET,11417,LIBERTY AVENUE,107 AVENUE,92 STREET,40.679868468591266,"{'type': 'Point', 'coordinates': [-73.84675034906651, 40.679868468591266]}",,,,,,-73.84675034906651,PHONE,QUEENS,Unspecified,2020-03-18T16:38:18.000,The Police Department responded to the complaint and determined that police action was not necessary,,Closed,92 STREET,,,45855062,1026756,187008
1438,,DOT,Department of Transportation,1006060004,MANHATTAN,,,NEW YORK,2020-03-18T11:31:19.000,02 MANHATTAN,Street Condition,2020-03-18T10:02:21.000,WEST   10 STREET,CHARLES STREET,Defective Hardware,,,18 GREENWICH AVENUE,10011,WEST   10 STREET,CHARLES STREET,GREENWICH AVENUE,40.73483285870073,"{'type': 'Point', 'coordinates': [-74.00005051672244, 40.73483285870073]}",,,,Street,,-74.00005051672244,ONLINE,MANHATTAN,Unspecified,2020-03-18T15:31:24.000,The Department of Transportation inspected and has requested the Department of Environmental Protect,,Closed,GREENWICH AVENUE,,,45852202,984236,206996
1439,,NYPD,New York City Police Department,3037260013,BROOKLYN,,,BROOKLYN,2020-03-18T15:51:00.000,16 BROOKLYN,Noise - Residential,2020-03-18T10:02:46.000,MOTHER GASTON BOULEVARD,CHRISTOPHER AVENUE,Loud Music/Party,,,1812 PITKIN AVENUE,11212,MOTHER GASTON BOULEVARD,CHRISTOPHER AVENUE,PITKIN AVENUE,40.67035300192106,"{'type': 'Point', 'coordinates': [-73.90617657855702, 40.67035300192106]}",,,,Residential Building/House,,-73.90617657855702,ONLINE,BROOKLYN,Unspecified,2020-03-18T19:51:02.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,PITKIN AVENUE,,,45856187,1010277,183518
1440,,NYPD,New York City Police Department,2043300028,BRONX,,,BRONX,2020-03-18T15:36:20.000,11 BRONX,Illegal Parking,2020-03-18T10:02:59.000,LYDIG AVENUE,ESPLANADE,Blocked Hydrant,,,2125 HAIGHT AVENUE,10461,LYDIG AVENUE,ESPLANADE,HAIGHT AVENUE,40.85534262180093,"{'type': 'Point', 'coordinates': [-73.85740757243248, 40.85534262180093]}",,,,Street/Sidewalk,,-73.85740757243248,ONLINE,BRONX,Unspecified,2020-03-18T19:36:24.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,HAIGHT AVENUE,,,45854904,1023696,250934
1441,ADDRESS,DSNY,BCC - Queens East,4155160109,QUEENS,,,Far Rockaway,2020-03-21T12:00:00.000,14 QUEENS,Missed Collection (All Materials),2020-03-18T10:03:00.000,DINSMORE AVENUE,CHANNING ROAD,2 Bulk-Missed Collection,,DSNY Garage,1127 BEACH    9 STREET,11691,,,,40.6057701904546,"{'type': 'Point', 'coordinates': [-73.74606042208563, 40.6057701904546]}",,,,Sidewalk,,-73.74606042208563,PHONE,QUEENS,Unspecified,2020-03-21T12:00:00.000,The Department of Sanitation picked up the items and determined that the missed collection complaint was not warranted.,,Closed,BEACH    9 STREET,,,45850742,1054762,160077
1442,INTERSECTION,DOT,Department of Transportation,4079010011,QUEENS,,,Bellerose,,13 QUEENS,Street Light Condition,2020-03-18T10:03:00.000,243 ST,82 AVE,Street Light Out,,,81-49 242 STREET,11426,242 STREET,82 AVENUE,,40.737699024350725,"{'type': 'Point', 'coordinates': [-73.72598867256512, 40.737699024350725]}",,,,,,-73.72598867256512,UNKNOWN,QUEENS,Unspecified,2020-03-19T12:16:00.000,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,,Assigned,242 STREET,,,45852838,1060185,208159
1443,INTERSECTION,DOT,Department of Transportation,,BRONX,,,,2020-03-18T10:03:00.000,Unspecified BRONX,Street Light Condition,2020-03-18T10:03:00.000,,,Street Light Out,,,,,WESTCHESTER AVE,WILKINSON AVE,,,,,,,,,,UNKNOWN,BRONX,Unspecified,2020-03-17T10:09:00.000,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,,Closed,,,,45856264,,
1444,ADDRESS,HPD,Department of Housing Preservation and Development,4108230018,QUEENS,,,Hollis,2020-03-19T20:54:46.000,12 QUEENS,HEAT/HOT WATER,2020-03-18T10:03:08.000,,,ENTIRE BUILDING,,,91-21 195 STREET,11423,,,,40.712908612234344,"{'type': 'Point', 'coordinates': [-73.76595337169503, 40.712908612234344]}",,,,RESIDENTIAL BUILDING,,-73.76595337169503,ONLINE,QUEENS,Unspecified,2020-03-19T20:54:46.000,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",,Closed,195 STREET,,,45855789,1049134,199095
1445,ADDRESS,HPD,Department of Housing Preservation and Development,2030140005,BRONX,,,BRONX,,03 BRONX,UNSANITARY CONDITION,2020-03-18T10:03:09.000,,,PESTS,,,1524 BOONE AVENUE,10460,,,,40.83283681850435,"{'type': 'Point', 'coordinates': [-73.88520145906679, 40.83283681850435]}",,,,RESIDENTIAL BUILDING,,-73.88520145906679,PHONE,BRONX,Unspecified,2020-03-18T00:00:00.000,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,,Open,BOONE AVENUE,,,45856912,1016018,242723
1446,ADDRESS,HPD,Department of Housing Preservation and Development,3019300001,BROOKLYN,,,BROOKLYN,2020-03-19T15:54:21.000,02 BROOKLYN,HEAT/HOT WATER,2020-03-18T10:03:18.000,,,ENTIRE BUILDING,,,325 CLINTON AVENUE,11205,,,,40.68838424920751,"{'type': 'Point', 'coordinates': [-73.96785408048865, 40.68838424920751]}",,,,RESIDENTIAL BUILDING,,-73.96785408048865,ONLINE,BROOKLYN,Unspecified,2020-03-19T15:54:21.000,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,,Closed,CLINTON AVENUE,,,45851059,993165,190075
1447,ADDRESS,DOB,Department of Buildings,3004090038,BROOKLYN,,,BROOKLYN,2020-03-18T10:03:33.000,06 BROOKLYN,General Construction/Plumbing,2020-03-18T10:03:33.000,,,Sidewalk Shed/Pipe Scafford - Inadequate Defective/None,,,242 HOYT STREET,11217,,,,40.682901531583106,"{'type': 'Point', 'coordinates': [-73.99029031498243, 40.682901531583106]}",,,,,,-73.99029031498243,UNKNOWN,BROOKLYN,Unspecified,2020-03-18T00:00:00.000,The Department of Buildings investigated this complaint and issued a partial stop work order violation.,,Closed,HOYT STREET,,,45854023,986943,188076
1448,,DOT,Department of Transportation,5007950134,STATEN ISLAND,,,STATEN ISLAND,,02 STATEN ISLAND,Sidewalk Condition,2020-03-18T10:03:38.000,COLLFIELD AVENUE,STEWART AVENUE,Sidewalk Violation,,,51 BASCOM PLACE,10314,COLLFIELD AVENUE,STEWART AVENUE,BASCOM PLACE,40.60668313327478,"{'type': 'Point', 'coordinates': [-74.14559431086778, 40.60668313327478]}",,,,Sidewalk,,-74.14559431086778,PHONE,STATEN ISLAND,Unspecified,,,,In Progress,BASCOM PLACE,,,45855209,943823,160341
1449,,NYPD,New York City Police Department,5042380011,STATEN ISLAND,,,STATEN ISLAND,2020-03-18T15:42:28.000,02 STATEN ISLAND,Illegal Parking,2020-03-18T10:03:45.000,SOUTH RAILROAD AVENUE,8 STREET,Posted Parking Sign Violation,,,6 CANNON BOULEVARD,10306,SOUTH RAILROAD AVENUE,8 STREET,CANNON BOULEVARD,40.56906604642861,"{'type': 'Point', 'coordinates': [-74.12160159279483, 40.56906604642861]}",,,,Street/Sidewalk,,-74.12160159279483,ONLINE,STATEN ISLAND,Unspecified,2020-03-18T19:42:31.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,CANNON BOULEVARD,,,45851567,950466,146626
1450,,DOHMH,Department of Health and Mental Hygiene,1009720001,MANHATTAN,,,NEW YORK,,06 MANHATTAN,Indoor Air Quality,2020-03-18T10:03:51.000,AVENUE B,AVENUE C,Dust from Construction,,,625 EAST   14 STREET,10009,AVENUE B,AVENUE C,EAST   14 STREET,40.72900619132314,"{'type': 'Point', 'coordinates': [-73.97699525264804, 40.72900619132314]}",,,,3+ Family Apartment Building,,-73.97699525264804,ONLINE,MANHATTAN,Unspecified,,,,In Progress,EAST   14 STREET,,,45856144,990626,204874
1451,,DOT,Department of Transportation,2033260129,BRONX,,,BRONX,2020-03-25T08:30:01.000,07 BRONX,Broken Parking Meter,2020-03-18T10:04:39.000,JEROME AVENUE,DEKALB AVENUE,Coin or Card Did Not Register,,,14 EAST  208 STREET,10467,JEROME AVENUE,DEKALB AVENUE,EAST  208 STREET,40.88052665109867,"{'type': 'Point', 'coordinates': [-73.88307955089319, 40.88052665109867]}",,,,Street,,-73.88307955089319,PHONE,BRONX,Unspecified,2020-03-25T12:30:05.000,The Department of Transportation inspected the condition you reported. You can find additional infor,,Closed,EAST  208 STREET,,,45850962,1016582,260099
1452,ADDRESS,DSNY,A - Bronx,2032500036,BRONX,,,BRONX,2020-03-19T12:00:00.000,08 BRONX,Dirty Conditions,2020-03-18T10:05:00.000,WEST 197 STREET,RESERVOIR AVENUE,E3 Dirty Sidewalk,,N/A,2849 WEBB AVENUE,10468,,,,40.873239511871404,"{'type': 'Point', 'coordinates': [-73.90067986315618, 40.873239511871404]}",,,,Sidewalk,,-73.90067986315618,ONLINE,BRONX,Unspecified,2020-03-19T12:00:00.000,The Department of Sanitation investigated this complaint and found no violation at the location.,,Closed,WEBB AVENUE,,,45850717,1011718,257438
1453,,DOHMH,Department of Health and Mental Hygiene,3051710001,BROOKLYN,,,BROOKLYN,,17 BROOKLYN,Rodent,2020-03-18T10:05:09.000,ROGERS AVENUE,EAST   28 STREET,Rat Sighting,,,2706 BEVERLY ROAD,11226,ROGERS AVENUE,EAST   28 STREET,BEVERLEY ROAD,40.644961663858595,"{'type': 'Point', 'coordinates': [-73.9516016962361, 40.644961663858595]}",,,,3+ Family Apt. Building,,-73.9516016962361,PHONE,BROOKLYN,Unspecified,,,,In Progress,BEVERLY ROAD,,,45856367,997681,174257
1454,,DOHMH,Department of Health and Mental Hygiene,4030570024,QUEENS,,,MIDDLE VILLAGE,,05 QUEENS,Rodent,2020-03-18T10:05:23.000,PLEASANTVIEW STREET,73 PLACE,Rat Sighting,,,72-41 METROPOLITAN AVENUE,11379,PLEASANTVIEW STREET,73 PLACE,METROPOLITAN AVENUE,40.71260975773251,"{'type': 'Point', 'coordinates': [-73.88059299703013, 40.71260975773251]}",,,,1-2 Family Mixed Use Building,,-73.88059299703013,ONLINE,QUEENS,Unspecified,,,,In Progress,METROPOLITAN AVENUE,,,45854835,1017353,198922
1455,,NYPD,New York City Police Department,,QUEENS,,,ASTORIA,2020-03-18T10:25:48.000,01 QUEENS,Noise - Residential,2020-03-18T10:05:25.000,DITMARS BOULEVARD,AMTRAK-CONNECTING RAIL LINE,Banging/Pounding,,,22-32 CRESCENT STREET,11105,DITMARS BOULEVARD,AMTRAK-CONNECTING RAIL LINE,CRESCENT STREET,40.778138464919515,"{'type': 'Point', 'coordinates': [-73.91523918065434, 40.778138464919515]}",,,,Residential Building/House,,-73.91523918065434,MOBILE,QUEENS,Unspecified,2020-03-18T14:25:55.000,The Police Department responded to the complaint and determined that police action was not necessary,,Closed,CRESCENT STREET,,,45854270,1007725,222785
1456,,DPR,Department of Parks and Recreation,,Unspecified,,,,,0 Unspecified,Damaged Tree,2020-03-18T10:05:43.000,,,Branch or Limb Has Fallen Down,,,,,,,,,,,,,Street,,,UNKNOWN,Unspecified,Unspecified,2020-03-25T15:27:56.000,The Department of Parks and Recreation has inspected the location and will perform work to correct t,,In Progress,,,,45852110,,
1457,,DCA,Department of Consumer Affairs,3007190049,BROOKLYN,,,BROOKLYN,2020-03-20T15:08:15.000,07 BROOKLYN,Consumer Complaint,2020-03-18T10:05:55.000,41 STREET,42 STREET,Retail Store,,,4122 5 AVENUE,11232,41 STREET,42 STREET,5 AVENUE,40.649975468168506,"{'type': 'Point', 'coordinates': [-74.00526507572219, 40.649975468168506]}",,,,,,-74.00526507572219,PHONE,BROOKLYN,Unspecified,2020-03-20T19:08:27.000,The Department of Consumer Affairs has received your report. This request is under investigation. Th,,Closed,5 AVENUE,,,45854862,982789,176080
