url,time,level,Date,Location,Result,name,parent,Belligerents.allies,Belligerents.axis,Commanders and leaders.allies,Commanders and leaders.axis,Strength.allies,Strength.axis,Casualties and losses.allies,Casualties and losses.axis,Territorialchanges
https://en.wikipedia.org/wiki/Battle_of_Cape_Esperance,", October 1942",1,11–12 October 1942,"Near Cape Esperance and Savo Island, Guadalcanal",Partial American victory,Battle of Cape Esperance,Guadalcanal Campaign,United States,Japan,Norman Scott,Aritomo Gotō   †   Takatsugu Jojima,4  cruisers 5  destroyers,"3 cruisers 2 destroyers, reinforcement convoy (indirectly involved): 6 destroyers, 2  seaplane tenders",1 destroyer sunk 1 cruiser damaged 1 destroyer damaged 163 killed [1],1 heavy cruiser sunk 1 destroyer sunk 1 cruiser damaged 341–454 killed 111 captured [2],
https://en.wikipedia.org/wiki/Battle_for_Henderson_Field,October 1942,1,23–26 October 1942,9°26′51″S 160°2′56″E﻿ / ﻿9.44750°S 160.04889°E﻿ / -9.44750; 160.04889﻿ (Henderson's Airfield)Coordinates: 9°26′51″S 160°2′56″E﻿ / ﻿9.44750°S 160.04889°E﻿ / -9.44750; 160.04889﻿ (Henderson's Airfield)Guadalcanal in the Solomon Islands,American victory,Battle for Henderson Field,Guadalcanal Campaign,United States,Japan,Alexander Vandegrift,Harukichi Hyakutake,"23,088 [2]","20,000 [3]","61–86 killed, 1 tugboat, 1 patrol boat sunk, 3 aircraft destroyed [4] [5]","2,200–3,000 killed, 1  cruiser  sunk, 14 aircraft destroyed [6]",
https://en.wikipedia.org/wiki/Battle_of_the_Santa_Cruz_Islands,", October 1942",1,25–27 October 1942,"Santa Cruz Islands, Solomon Islands","Japanese tactical victory
American strategic victory",Battle of the Santa Cruz Islands,Guadalcanal Campaign,United States,Japan,"William Halsey, Jr.   Thomas C. Kinkaid   George D. Murray",Nobutake Kondō   Chūichi Nagumo   Hiroaki Abe   Kakuji Kakuta,"2  fleet carriers 
 1  battleship 
 6  cruisers 
 14  destroyers 
 136 aircraft [1]","3 fleet carriers 
 1  light carrier 
 4 battleships [2] 
 10 cruisers 
 25 destroyers 
 199 aircraft [3]","1 fleet carrier sunk 
 1 destroyer sunk 
 1 fleet carrier heavily damaged 
 2 destroyers heavily damaged 
 81 aircraft destroyed 
 266 dead [4]","1 fleet carrier heavily damaged 
 1 light carrier heavily damaged 
 1 cruiser heavily damaged 
 99 aircraft destroyed 
 400–500 dead [5]",
https://en.wikipedia.org/wiki/Matanikau_Offensive,November 1942,1,1–4 November 1942,"Guadalcanal, Solomon Islands",United States victory,Matanikau Offensive,Guadalcanal Campaign,United States,Japan,"Alexander Vandegrift , Merritt A. Edson","Harukichi Hyakutake , Tadashi Sumiyoshi ,    Nomasu Nakaguma   †","4,000 [1] 
 
 1st Marine Division 
 2nd Marine Regiment 
 Americal Division","1,000 [2]",71 killed [3],400 killed [4],
https://en.wikipedia.org/wiki/Koli_Point_action,November 1942,1,3–12 November 1942,"Guadalcanal, Solomon Islands",Allied victory,Koli Point action,Guadalcanal Campaign,United States   United Kingdom   British Solomon Islands   Australia,Japan,Alexander Vandegrift William H. Rupertus Edmund B. Sebree,Harukichi Hyakutake Toshinari Shōji,"3,500 [1] 
 
 7th Marine Regiment 
 164th Infantry Regiment","2,500–3,500 [2]",40 killed [3],450+ killed [4],
https://en.wikipedia.org/wiki/Carlson%27s_Patrol,November–December 1942,1,6 November – 4 December 1942,Guadalcanal in the Solomon Islands,Allied victory,Carlson's Patrol,Guadalcanal Campaign,United States   Australia   British Solomon Islands,Imperial Japan,"Alexander Vandegrift 
 Evans Carlson","Harukichi Hyakutake 
 Toshinari Shōji","700 [1] 
 
 2nd Marine Raider Battalion","2,500 [2]",16 killed 17 wounded  2 wounded [3],488 killed [4],
https://en.wikipedia.org/wiki/Naval_Battle_of_Guadalcanal,. November 1942,1,12–15 November 1942,"Guadalcanal, Solomon Islands",Strategic American victory,Naval Battle of Guadalcanal,Guadalcanal Campaign,United States,Japan,"William Halsey, Jr. 
   Daniel Callaghan   † 
   Norman Scott   † 
   Willis A. Lee","Isoroku Yamamoto 
   Hiroaki Abe 
   Nobutake Kondō 
   Raizō Tanaka 
   Kakuji Kakuta","1  carrier 
 2  battleships 
 2  heavy cruisers 
 3  light cruisers 
 12  destroyers","1 carrier 
 2 battleships 
 6 heavy cruisers 
 4 light cruisers 
 16 destroyers 
 11 transports","First phase (13 Nov): 2 light cruisers 4 destroyers 
 
 Second phase (14/15 Nov): 3 destroyers 1 battleship moderately damaged Plus (13–15 Nov): 36 aircraft for a total of 1,732 killed [1]","First phase: 1 battleship 1 heavy cruiser 2 destroyers 7 transports Second phase: 1 battleship 1 destroyer 4 transports (beached first) Plus: 64 aircraft for a total of 1,900 killed (exclusive of transport losses) [2]",
https://en.wikipedia.org/wiki/Battle_of_Tassafaronga,", November 1942",1,"November 30, 1942","off Tassafaronga, Guadalcanal",Japanese tactical victory,Battle of Tassafaronga,Guadalcanal Campaign,United States,Japan,Carleton H. Wright,Raizō Tanaka,"5  cruisers , 6  destroyers",8 destroyers,"1 cruiser sunk, 3 cruisers heavily damaged, 395 killed [1]","1 destroyer sunk, 349 killed [2]",
"https://en.wikipedia.org/wiki/Battle_of_Mount_Austen,_the_Galloping_Horse,_and_the_Sea_Horse",December 1942,1,15 December 1942 – 23 January 1943,Guadalcanal in the Solomon Islands,Allied victory,"Battle of Mount Austen, the Galloping Horse, and the Sea Horse",Guadalcanal Campaign,Allied  forces including:   United States   British Solomon Islands   Colony of Fiji   New Zealand [1],Japan,Alexander Patch,Harukichi Hyakutake,"50,078 [2]","20,000 [3]",250 killed [4],"2,700–3,300 killed [5]",
https://en.wikipedia.org/wiki/Battle_of_Rennell_Island,January 1943,1,29–30 January 1943,"Rennell Island, Solomon Islands, Pacific Ocean","Japanese defensive victory

U.S. naval task forces repulsed
Evacuation of remaining Japanese forces from Guadalcanal secured",Battle of Rennell Island,Guadalcanal Campaign,United States,Japan,William Halsey Jr. Robert C. Giffen,Isoroku Yamamoto Jinichi Kusaka [1],1  aircraft carrier 2  escort carriers 6  cruisers 8  destroyers 14  fighters [2],43  bombers [3],1 cruiser sunk 1 destroyer damaged 85 killed [4],12 bombers destroyed 60–84 killed [5],
https://en.wikipedia.org/wiki/Battle_of_Goodenough_Island,", October 1942",1,22–27 October 1942,"Goodenough Island, Territory of PapuaCoordinates: 9°20′24.79″S 150°16′3.06″E﻿ / ﻿9.3402194°S 150.2675167°E﻿ / -9.3402194; 150.2675167",Allied victory,Battle of Goodenough Island,New Guinea campaign,Australia   United States,Japan,Arthur Arnold  Keith Gategood,Tsukioka Torashige,640,"353 (initially), 285 (during ground fighting)","13 killed, 19 wounded","20 killed, 15 wounded, 1 prisoner",
https://en.wikipedia.org/wiki/Battle_of_Buna%E2%80%93Gona,", November 1942 – January 1943",1,16 November 1942 – 22 January 1943,"Buna-Gona, Territory of PapuaCoordinates: 8°39′S 148°22′E﻿ / ﻿8.650°S 148.367°E﻿ / -8.650; 148.367",Allied victory,Battle of Buna–Gona,New Guinea campaign,Australia   United States,Japan,Edmund Herring   George Vasey   Edwin F. Harding   Robert L. Eichelberger,Yosuke Yokoyama   Yoshitatsu Yasuda from 6 December :   Tsuyuo Yamagata,"20,000+ (total)  [Note 2]","5,500–6,500 (initially) [Note 3]  11,000–12,000 (total)","1,991 killed, 12,300+ injured or sick [Note 4]","7,000 killed (4,000 in battle, remainder from disease) [1] [Note 5] 1,200 injured (evacuated), 250+ captured",
https://en.wikipedia.org/wiki/Battle_of_Wau,", January 1943",1,29 January – 4 February 1943,"Wau, Territory of New Guinea",Allied victory,Battle of Wau,New Guinea campaign,Australia   United States,Imperial Japan,Thomas Blamey   Murray Moten,Hitoshi Imamura   Toru Okabe,"3,000","4,000","349 killed, wounded or missing","1,200 killed (estimate)",
https://en.wikipedia.org/wiki/Battle_of_the_Bismarck_Sea,", March 1943",1,2–4 March 1943,"Bismarck Sea, in the vicinity of Lae",Allied victory,Battle of the Bismarck Sea,New Guinea campaign,United States   Australia,Japan,Ennis Whitehead   Joe Hewitt,Gunichi Mikawa   Masatomi Kimura,39 heavy bombers; 41 medium bombers; 34 light bombers;  54 fighters 10 torpedo boats,"8 destroyers, 8 troop transports, 100 aircraft","2 bombers, 4 fighters destroyed 13 killed [1]","8 transports, 4 destroyers sunk 20 fighters destroyed, 2,890+ dead [2]",
https://en.wikipedia.org/wiki/Salamaua%E2%80%93Lae_campaign,", April–September 1943",1,22 April – 16 September 1943,"Salamaua–Lae area, Morobe Province, Territory of New Guinea",Allied victory,Salamaua–Lae campaign,New Guinea campaign,Australia   United States,Japan,Douglas MacArthur   Thomas Blamey   Edmund Herring   Stanley Savige   Edward Milford   George Wootten   George Vasey,"Hatazō Adachi 
 
   Hidemitsu Nakano","~30,000","~10,000","Australia :   1,772 killed, wounded or missing [1] [2]   
 
 United States :   81 killed and 396 wounded [3]","11,600 killed, wounded or captured [1]",
https://en.wikipedia.org/wiki/Finisterre_Range_campaign,", September 1943 – April 1944",1,19 September 1943 – 24 April 1944,"Finisterre Range, Territory of New Guinea",Allied victory,Finisterre Range campaign,New Guinea campaign,Australia   United States,Japan,George Vasey,Masutaro Nakai,"~ 17,000","~ 12,000",204 killed   464 wounded,800 killed   400 wounded,
https://en.wikipedia.org/wiki/Huon_Peninsula_campaign,", September 1943 – March 1944",1,22 September 1943 – 1 March 1944,"Huon Peninsula, Territory of New Guinea",Allied victory,Huon Peninsula campaign,New Guinea campaign,Australia   United States,Japan,"George Wootten 
 
 Victor Windeyer 
 Bernard Evans 
 David Whitehead 
 Selwyn Porter 
 Cedric Edgar","Hatazō Adachi 
 
 Eizo Yamada 
 Shigeru Katagiri","~13,100","~12,500","~1,387 killed or wounded","~5,500 killed",
https://en.wikipedia.org/wiki/Bougainville_Campaign,", November 1943 – August 1945",1,1 November 1943 – 21 August 1945,"6°8′S 155°18′E﻿ / ﻿6.133°S 155.300°E﻿ / -6.133; 155.300Coordinates: 6°8′S 155°18′E﻿ / ﻿6.133°S 155.300°E﻿ / -6.133; 155.300Bougainville, Territory of New Guinea (geographically part of theSolomon Islands)",Allied victory,Bougainville Campaign,New Guinea campaign,United States   Australia   New Zealand       Colony of Fiji,Japan,Douglas MacArthur     William F. Halsey   Theodore S. Wilkinson   Alexander A. Vandegrift    Robert Amos Row   Allen H. Turnage   Robert S. Beightler   Roy S. Geiger   Oscar W. Griswold   H. E. Barrowclough   Thomas Blamey   Stanley Savige,Hitoshi Imamura   Harukichi Hyakutake   Mineichi Koga   Jinichi Kusaka   Tomoshige Samejima   Sentaro Omori   Kiyoto Kagawa   †   Masatane Kanda,"144,000 American troops 30,000 Australian troops [1] 728 aircraft [2]","45,000–65,000 troops [3] 154 aircraft [2]",USA: 727 dead Australia: 516 dead [4],"18,500–21,500 dead [5] [Note 1]",
https://en.wikipedia.org/wiki/New_Britain_campaign,", December 1943 – August 1945",1,15 December 1943 – 21 August 1945,"New Britain, Territory of New Guinea",Allied victory,New Britain campaign,New Guinea campaign,"United States   Australia 
 
   Territory of New Guinea 
   New Zealand",Japan,Julian Cunningham   William H. Rupertus   Rapp Brush   Alan Ramsay   Horace Robertson,Hitoshi Imamura,"20,000","100,000","502 killed 1,575 wounded 4 missing","~30,000 killed  (mostly from disease and starvation) [1]",
https://en.wikipedia.org/wiki/Battle_of_Cape_Gloucester,December 1943 – April 1944,1,26 December 1943 – 16 January 1944,"Cape Gloucester, New Britain, Territory of New Guinea5°27′S 148°25′E﻿ / ﻿5.450°S 148.417°E﻿ / -5.450; 148.417",Allied victory,Battle of Cape Gloucester,New Guinea campaign,United States   Australia,Japan,William H. Rupertus William J. Whaling Julian N. Frisbie,Yasushi Sakai Iwao Matsuda,,,"310 killed 1,083 wounded","2,000 killed",
https://en.wikipedia.org/wiki/Admiralty_Islands_campaign,", February–May 1944",1,29 February 1944 (1944-02-29)–18 May 1944 (1944-05-18)  80 days,Admiralty Islands2°2′S 147°16.5′E﻿ / ﻿2.033°S 147.2750°E﻿ / -2.033; 147.2750Coordinates: 2°2′S 147°16.5′E﻿ / ﻿2.033°S 147.2750°E﻿ / -2.033; 147.2750,Decisive Allied victory,Admiralty Islands campaign,New Guinea campaign,United States   Australia,Japan,Douglas MacArthur   William C. Chase,Hitoshi Imamura Yoshio Ezaki  †,"35,000","4,000","326 killed 1,190 wounded 4 missing","3,280 killed 75 captured",
https://en.wikipedia.org/wiki/Western_New_Guinea_campaign,", April 1944 – August 1945",1,22 April 1944 – 15 August 1945,Territory of New Guinea and Netherlands New Guinea,Allied victory,Western New Guinea campaign,New Guinea campaign,United States   Australia   Netherlands   United Kingdom,Imperial Japan,,,Unknown,Unknown,"1,922+ killed or missing 8,000+ wounded","42,000+ dead and nearly 1,000  POWs",
https://en.wikipedia.org/wiki/Aitape%E2%80%93Wewak_campaign,", November 1944 – August 1945",1,November 1944 – August 1945,"Aitape/Wewak/Sepik region, Territory of New Guinea",Allied victory,Aitape–Wewak campaign,New Guinea campaign,"Australia 
   United States 
   United Kingdom",Japan,Jack Stevens,Hatazō Adachi,"~13,000 men [Note 1]","~30,000–35,000 [1]","442 killed in action 
 145 dead from other causes [2] 
 1,141 wounded [1]","7,000–9,000 killed in action 
 14,000 dead from disease and hunger [2] 
 269 captured [1]",
https://en.wikipedia.org/wiki/Battle_of_the_Komandorski_Islands,March 1943,1,27 March 1943[Note 1],off Komandorski Islands,Tactically inconclusiveStrategic U.S. victory,Battle of the Komandorski Islands,Aleutian Islands Campaign,United States,Japan,Charles McMorris,Boshiro Hosogaya,"1  heavy cruiser , 1  light cruiser , 4  destroyers","2 heavy cruisers, 2 light cruisers, 4 destroyers","1 heavy cruiser severely damaged, 2 destroyers slightly damaged, 7 killed, 20 wounded [Note 2]","1 heavy cruiser moderately damaged, 1 heavy cruiser slightly damaged, 14 killed, 26 wounded [Note 3]",
https://en.wikipedia.org/wiki/Battle_of_Attu,May 1943,1,11–30 May 1943,"Attu, Aleutian Islands, Alaska, United States",Allied victory,Battle of Attu,Aleutian Islands Campaign,United States Air support:   Canada [1],Japan,John L. DeWitt   Thomas C. Kinkaid   Albert E. Brown   Eugene M. Landrum   Archibald V. Arnold,Yasuyo Yamasaki   †,"American: 15,000 Canadian: 1 reconnaissance aircraft squadron 2 fighter-bomber squadrons [1]","2,900","549 killed 1,148 wounded 1,814 cold injuries and disease [2]","2,872 killed or committed suicide 28 captured [2]",
https://en.wikipedia.org/wiki/Operation_Vengeance,April 1943,0,"April 18, 1943","near Panguna, Bougainville, Solomon Islands",Operation successful;Admiral Yamamoto killed,Operation Vengeance,Pacific Theatre,United States,Imperial Japan,"William F. Halsey, Jr.   John W. Mitchell",Isoroku Yamamoto   †   Matome Ugaki  ( WIA ),16  P-38G  fighter aircraft,"2 G4M1  bombers , 6 A6M2  fighter aircraft","1 P-38G fighter aircraft lost, 1 pilot killed","2 bombers destroyed, 1 fighter damaged, 19 killed inc. Admiral Yamamoto",
https://en.wikipedia.org/wiki/New_Georgia_Campaign,", June–August 1943",1,20 June – 7 October 1943,"New Georgia Islands, Solomon Islands",Allied victory,New Georgia Campaign,Solomon Islands Campaign,United States   New Zealand   Australia   British Solomon Islands,Japan,"U.S. Navy:    William F. Halsey 
   R. Kelly Turner 
   Theodore S. Wilkinson 
   Frederick Moosbrugger 
   A. Stanton Merrill 
   Walden L. Ainsworth 
   Thomas J. Ryan 
 U.S. Marines:    Harry B. Liversedge 
 U.S. Army:    Oscar W. Griswold 
   Millard F. Harmon 
   John H. Hester 
   Robert B. McClure 
 
 N.Z. Army:    H. E. Barrowclough","I.J. Navy:    Jinichi Kusaka 
   Teruo Akiyama   † 
   Shunji Isaki   † 
   Kaju Sugiura 
   Matsuji Ijuin 
 I.J. Army:    Hitoshi Imamura 
 
   Minoru Sasaki","~ 43,000","10,500","1,195 killed, 93 aircraft destroyed","1,671 killed, 358 aircraft destroyed",
https://en.wikipedia.org/wiki/Battle_of_Kula_Gulf,July 1943,1,6 July 1943,"Kolombangara, Solomon Islands","Inconclusive; 850 of 2,600 Japanese troops landed at Vila, remainder killed or not landed",Battle of Kula Gulf,Solomon Islands Campaign,United States,Japan,Walden L. Ainsworth,Teruo Akiyama   †,"3  light cruisers , 4  destroyers",10 destroyers,"1 light cruiser sunk, 168 killed [1]","2 destroyers sunk, 2 destroyers damaged 324 killed [2]",
https://en.wikipedia.org/wiki/Battle_of_Kolombangara,July 1943,1,12/13 July 1943,Kolombangara in the Solomon Islands,Japanese tactical victory,Battle of Kolombangara,Solomon Islands Campaign,United States   New Zealand,Japan,Walden Ainsworth,Shunji Isaki   †,"3 light cruisers, 10 destroyers","1 light cruiser, 5 destroyers","1 destroyer sunk, 3 light cruisers heavily damaged, 89 killed [1]","1 light cruiser sunk, 482 killed [2]",
https://en.wikipedia.org/wiki/Battle_of_Vella_Gulf,August 1943,1,6–7 August 1943,Near Kolombangara in the Solomon Islands,United States victory,Battle of Vella Gulf,Solomon Islands Campaign,United States,Japan,Frederick Moosbrugger,Kaju Sugiura,6 destroyers,4 destroyers,None,"3 destroyers sunk, 1,210 killed",
https://en.wikipedia.org/wiki/Land_Battle_of_Vella_Lavella,August – October 1943,1,15 August – 6 October 1943,Vella Lavella in the Solomon Islands7°44′S 156°38′E﻿ / ﻿7.733°S 156.633°E﻿ / -7.733; 156.633,Allied victory,Land Battle of Vella Lavella,Solomon Islands Campaign,United States   New Zealand,Japan,Theodore S. Wilkinson Oscar Griswold Harold Barrowclough,Noboru Sasaki,"9,588 [1]","700 [2]  – 1,000 [3]",150 killed [4],Less than 150 [5]  to 200–300 killed [6],
https://en.wikipedia.org/wiki/Naval_Battle_of_Vella_Lavella,October 1943,1,6 October 1943,Vella Lavella in the Solomon Islands,Japanese victory,Naval Battle of Vella Lavella,Solomon Islands Campaign,United States,Japan,Frank R. Walker,Matsuji Ijuin,6 destroyers,"9 destroyers, 20 barges, auxiliary ships","1 destroyer sunk, 2 destroyers heavily damaged, 67 killed 47 wounded 36 missing [1] [2]","1 destroyer sunk, 138 killed [3] 103 captured",
https://en.wikipedia.org/wiki/Battle_of_Empress_Augusta_Bay,November 1943,1,1–2 November 1943,"Empress Augusta Bay, Bougainville, Territory of New Guinea",United States victory,Battle of Empress Augusta Bay,Solomon Islands Campaign,United States,Japan,Aaron S. Merrill   Arleigh Burke,Sentaro Omori   Matsuji Ijuin,4 light cruisers 8 destroyers,2 heavy cruisers 2 light cruisers 6 destroyers 100 aircraft,1 cruiser damaged 2 destroyers damaged 19 killed [1],1 light cruiser sunk 1 destroyer sunk 1 heavy cruiser damaged 1 light cruiser damaged 2 destroyers heavily damaged 25 aircraft shot down 198–658 killed [2] [3] [Note 1],
https://en.wikipedia.org/wiki/Battle_of_Cape_St._George,November 1943,1,25 November 1943,"Near Buka Island, north of Bougainville",U.S. victory,Battle of Cape St. George,Solomon Islands Campaign,United States,Imperial Japan,Arleigh Burke,Kiyoto Kagawa   †,5 destroyers,5 destroyers,None,"3 destroyers sunk, 1 destroyer damaged, 647 killed [Note 1]",
https://en.wikipedia.org/wiki/Battle_of_Tarawa,", November 1943",1,20–23 November 1943,"Betio Island, Tarawa Atoll, Gilbert Islands",American victory,Battle of Tarawa,Gilbert and Marshall Islands campaign,United States,Japan,U.S. Navy : Raymond A. Spruance Richmond K. Turner Harry W. Hill U.S. Marine Corps : Holland M. Smith Julian C. Smith Leo D. Hermle Merritt A. Edson David M. Shoup,Keiji Shibazaki   †,"35,000 troops 18,000 Marines [1] 5 escort carriers 3 old battleships 2 heavy cruisers 2 light cruisers 22 destroyers 2 minesweepers 18 transports & landing ships","2,636 troops 2,200 construction laborers  (1,200 Korean and 1,000 Japanese) 14 tanks 40 artillery pieces 14 naval guns","1,696 killed 2,101 wounded U.S. Marine Corps : 1,009 killed [2] 2,101 wounded [2] U.S. Navy : 1 escort carrier sunk  ( USS  Liscome Bay ) 687 killed [2]","4,690 killed 17 soldiers captured 129 laborers captured 14 tanks destroyed",
https://en.wikipedia.org/wiki/Battle_of_Kwajalein,", February 1944",1,31 January – 3 February 1944,"Kwajalein Atoll, Marshall Islands",U.S. victory,Battle of Kwajalein,Gilbert and Marshall Islands campaign,United States,Japan,Richmond K. Turner (USN) Holland M. Smith (USMC) Harry Schmidt (USMC) Charles H. Corlett (USA) Thomas E. Watson (USMC),Monzo Akiyama   † Masami Kobayashi Yamada Michiyuki  † Yoshimi Nishida   †,"46,670 [1] : 27–28","Kwajalein : about 5,000 Roi-Namur : about 3,000 [1] : 31",Kwajalein : 142 killed 845 wounded 2 missing Roi-Namur : 206 killed 617 wounded 181 missing [1] : 88,"Kwajalein : 4,300 killed 166 captured Roi-Namur : 3,500 killed 87 captured [1] : 88",
https://en.wikipedia.org/wiki/Battle_of_Eniwetok,", February 1944",1,17 February – 23 February 1944,"Eniwetok Atoll, Marshall Islands",United States victory,Battle of Eniwetok,Gilbert and Marshall Islands campaign,United States,Japan,Harry W. Hill John T. Walker Thomas E. Watson,Yoshimi Nishida   †,"2 regiments
 
 22nd Marine Regiment 
 106th Infantry Regiment","3,500 [1] : 32 9 light tanks 3 anti-tank guns 3 naval guns 4 mountain guns",313 killed 77 missing 879 wounded [1] : 88,"3,380 killed 144 captured [1] : 88 1 naval gun destroyed",
https://en.wikipedia.org/wiki/Battle_of_Saipan,", June 1944",1,15 June – 9 July 1944 (1944-06-15 – 1944-07-09),"Saipan, Mariana Islands",American victory,Battle of Saipan,Mariana and Palau Islands campaign,United States,Japan,Richmond K. Turner   Holland Smith,Yoshitsugu Saitō   †   Chūichi Nagumo   †   Takeo Takagi   †   Matsuji Ijuin   †,"71,000","32,000 [1] : 563","13,790 casualties: 3,426 killed and missing [2] : 379 10,364 wounded [3]","29,000 casualties: [4] 24,000 KIA 5,000 suicides",
https://en.wikipedia.org/wiki/Battle_of_the_Philippine_Sea,", June 1944",1,"June 19–20, 1944",The Philippine Sea,American victory[1],Battle of the Philippine Sea,Mariana and Palau Islands campaign,United States,Japan,Raymond A. Spruance     Marc A. Mitscher,Jisaburō Ozawa     Kakuji Kakuta,7  fleet carriers   8  light carriers   7  battleships   8  heavy cruisers   13  light cruisers   68  destroyers   28  submarines   ~900 carrier aircraft,5 fleet carriers  4 light carriers  5 battleships  11 heavy cruisers  2 light cruisers  31 destroyers  24 submarines  6  oilers   ~450 carrier aircraft  ~300 land-based aircraft,1 battleship damaged  123 aircraft destroyed [2]   109 dead,"3 fleet carriers sunk  2 oilers sunk  550–645 aircraft destroyed [2]   6 other ships damaged  2,987 dead (estimate)",
https://en.wikipedia.org/wiki/Battle_of_Guam_(1944),", July – August 1944",1,21 July – 10 August 1944 (1944-07-21 – 1944-08-10),"Guam, Mariana Islands",Allied victory,Battle of Guam (1944),Mariana and Palau Islands campaign,United States   Chamorros,Japan,Roy Geiger Richmond K. Turner Holland Smith Allen H. Turnage Andrew D. Bruce,Takeshi Takashina   † Hideyoshi Obata   †,"59,401 [1]","18,657 [1] 40 tanks [2]","3,000 killed 7,122 wounded [3]","18,000 killed 485 captured [3]",
https://en.wikipedia.org/wiki/Battle_of_Tinian,", July – August 1944",1,24 July – 1 August 1944,"Tinian, Mariana Islands",American victory,Battle of Tinian,Mariana and Palau Islands campaign,United States,Japan,Harry Schmidt   Richmond K. Turner   Thomas E. Watson   Clifton B. Cates,Kiyochi Ogata   †     Kakuji Kakuta   †   Goichi Oya   †,"41,364 Marines [1] : 34","8,039 [1] : 89","326 killed 1,593 wounded [1] : 88","5,542 killed 252 captured Remainder (2,265) missing [1] : 88",
https://en.wikipedia.org/wiki/Battle_of_Peleliu,", September – November 1944",1,"15 September – 27 November 1944(2 months, 1 week and 5 days)","Peleliu, Palau Islands7°00′N 134°15′E﻿ / ﻿7.000°N 134.250°E﻿ / 7.000; 134.250Coordinates: 7°00′N 134°15′E﻿ / ﻿7.000°N 134.250°E﻿ / 7.000; 134.250",American victory,Battle of Peleliu,Mariana and Palau Islands campaign,United States,Japan,William H. Rupertus   Paul J. Mueller   Roy S. Geiger   Herman H. Hanneken   Harold D. Harris   Lewis B. Puller,Kunio Nakagawa   †   Sadae Inoue,"47,561 [1] : 36","10,900 [1] : 37 17  tanks [2]","10,786 2,336 killed 8,450 wounded [3]","10,897 10,695 killed 202 captured  (183 foreign laborers, 19 Japanese soldiers) [1] : 89 [3] 17 tanks lost",
https://en.wikipedia.org/wiki/Battle_of_Angaur,", September – October 1944",1,17 September–22 October 1944,"Angaur, Palau Islands",American victory,Battle of Angaur,Mariana and Palau Islands campaign,United States,Japan,Paul J. Mueller,Ushio Goto  †     Sadae Inoue,"10,000","1,400 [1] : 89","260 killed 1,354 wounded [1] : 89","1,350 killed 50 captured [1] : 89",
https://en.wikipedia.org/wiki/Battle_of_Noemfoor,July–August 1944,0,2 July – 31 August 1944,Dutch New Guinea,Allied victory,Battle of Noemfoor,Pacific Theatre,United States   Australia   Netherlands,Japan,Walter Krueger   Edwin D. Patrick  (land)   Russell S. Berkey  (naval)   Frederick Scherger  (air),Suesada Shimizu,"10,000","2,000 (US estimates)",66 killed/missing; 343 wounded,"~1,714 killed; 186 prisoners",
https://en.wikipedia.org/wiki/Battle_of_Morotai,September–October 1944,0,"15 September – 4 October 1944 (initial period), intermittent fighting continued until the end of the war","Morotai, off North Halmahera, Maluku Islands",Allied victory,Battle of Morotai,Pacific Theatre,United States   Australia   Netherlands   United Kingdom,Japan,Clarence Martin (land) Daniel E. Barbey  (naval),"Takenobu Kawashima (initial commander) 
 
Kisou Ouchi  ( POW ) (from 12 October) [1]","57,020 (initial force)","~500 at the time of the Allied invasion, later reinforced",,,
https://en.wikipedia.org/wiki/Battle_of_Leyte,October–December 1944,1,17 October – 26 December 1944 (Initial phase involving Sixth Army) guerrilla phase under Eighth Army continued until March 1945[2]:324,"Leyte Island, Philippines11°10′20″N 125°00′44″E﻿ / ﻿11.17222°N 125.01222°E﻿ / 11.17222; 125.01222Coordinates: 11°10′20″N 125°00′44″E﻿ / ﻿11.17222°N 125.01222°E﻿ / 11.17222; 125.01222",Allied victory,Battle of Leyte,Philippines Campaign (1944–45),"Allies   United States 
 
   Commonwealth of the Philippines 
   Australia [1]","Axis   Japan 
 
   Second Philippine Republic",Army:   Douglas MacArthur   Walter Krueger   Franklin C. Sibert   John R. Hodge Navy:   Thomas C. Kinkaid Army Air Force:   George C. Kenney Civilian  Government :   Sergio Osmeña,Army:   Tomoyuki Yamashita   Sōsaku Suzuki   Shiro Makino   † [3]    Tsunehiro Shirai  † [4]    Yoshimi Adachi  † [5]  Kyoji Tominaga [2] : 39,"Sixth Army:  ≈200,000  Air and naval forces: ≈120,000 [2] : 324  3,000  guerrillas","65,000 for Sixth Army phase [6] 41 tanks [7]  20,000 during Eighth Army's phase [8]","USA : [2] : 337    3,504 killed   11,991 wounded   89 missing","49,000 dead [9]  (80% from starvation or disease) [10]",
https://en.wikipedia.org/wiki/Battle_off_Samar,25 October 1944,2,"October 25, 1944",East of Samar Island,American victory,Battle off Samar,Battle of Leyte Gulf,United States,Japan,Clifton Sprague,Takeo Kurita,"6  escort carriers , 3  destroyers , 4  destroyer escorts , 400 aircraft from Taffy 1, 2, and 3","4  battleships , 6  heavy cruisers , 2  light cruisers , 11 destroyers,  30 aircraft (in  kamikaze  attack)","2 escort carriers sunk 2 destroyers sunk 1 destroyer escort sunk  23 aircraft lost 4 escort carriers damaged   1 destroyer damaged   2 destroyer escorts damaged   1,583 killed and missing 913 wounded",3 heavy cruisers sunk 3 heavy cruisers damaged 1 destroyer damaged 52 aircraft [1],
